role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
actor,tv series,Route 66,1960,"[u'60', u'60::(116 episodes)']",[u'Adventure'],The adventures of two young drifters across America.,7.7,1001,"{1: 26, 2: 28, 3: 6, 4: 17, 5: 21, 6: 70, 7: 138, 8: 266, 9: 177, 10: 252}","{u'aged 45+': (685, 7.9), u'imdb staff': (1, 5.0), u'aged 30-44': (113, 6.6), u'females': (212, 7.0), u'females aged 30-44': (35, 6.0), 'all votes': (1001, 7.7), u'females aged 45+': (157, 7.2), u'males': (646, 7.8), u'males aged 18-29': (30, 7.4), u'aged 18-29': (44, 7.2), u'males aged 30-44': (75, 6.7), u'non-us users': (163, 7.6), u'females aged 18-29': (14, 6.4), u'us users': (622, 7.6), u'top 1000 voters': (77, 7.4), u'males aged 45+': (521, 8.0)}",[u'Argentina:Atp'],,,[u'Black and White'],,
actor,tv series,Fireside Theatre,1949,[u'30'],[u'Drama'],An anthology series which became the first successful filmed series on American television.,8.3,41,"{1: 0, 2: 0, 3: 1, 4: 0, 5: 2, 6: 1, 7: 5, 8: 15, 9: 3, 10: 14}","{u'aged 45+': (24, 8.0), u'aged 30-44': (8, 8.2), u'females': (10, 8.4), u'females aged 30-44': (3, 9.0), 'all votes': (41, 8.3), u'females aged 45+': (5, 8.5), u'males': (28, 8.1), u'males aged 18-29': (3, 9.0), u'aged 18-29': (5, 8.2), u'males aged 30-44': (5, 8.0), u'non-us users': (12, 8.3), u'females aged 18-29': (2, 9.0), u'us users': (21, 8.0), u'top 1000 voters': (14, 8.0), u'males aged 45+': (19, 7.9)}",,,,[u'Black and White'],,
actor,movie,Devil's Canyon,1953,"[u'92', u'West Germany:85']","[u'Action', u'Crime', u'Drama', u'Romance', u'Western']","In 1897 Arizona, an ex-marshal is sent to the territorial prison where many of his enemies, among guards and inmates alike, are eager for a chance at payback.",5.1,257,"{1: 2, 2: 6, 3: 25, 4: 41, 5: 91, 6: 47, 7: 27, 8: 6, 9: 5, 10: 7}","{u'aged 45+': (160, 5.2), u'aged 30-44': (32, 4.7), u'females': (11, 4.7), u'females aged 30-44': (2, 3.0), 'all votes': (257, 5.1), u'females aged 45+': (8, 5.0), u'males': (185, 5.1), u'males aged 18-29': (5, 6.5), u'aged 18-29': (6, 6.2), u'males aged 30-44': (29, 4.7), u'non-us users': (93, 4.9), u'females aged 18-29': (1, 5.0), u'us users': (100, 5.3), u'top 1000 voters': (51, 5.3), u'males aged 45+': (150, 5.2)}","[u'Finland:K-16', u'Sweden:15', u'UK:A::(original rating)', u'USA:Approved::(PCA #16473)', u'West Germany:18::(nf)', u'West Germany:12::(re-rating)']",,,[u'Color::(Technicolor)'],,
actor,movie,A Blueprint for Murder,1953,[u'77'],"[u'Crime', u'Drama', u'Film-Noir', u'Mystery', u'Thriller']","Whitney Cameron suspects his sister-in-law has poisoned his brother and niece, but without proof how does he prevent the murder of his nephew?",6.8,913,"{1: 6, 2: 5, 3: 12, 4: 28, 5: 79, 6: 204, 7: 335, 8: 146, 9: 45, 10: 53}","{u'aged 45+': (493, 6.8), u'imdb staff': (1, 7.0), u'aged 30-44': (203, 6.7), u'females': (146, 7.0), u'females aged 30-44': (44, 7.2), 'all votes': (913, 6.8), u'females aged 45+': (77, 7.0), u'males': (609, 6.7), u'males aged 18-29': (38, 7.0), u'aged 18-29': (62, 7.1), u'males aged 30-44': (157, 6.6), u'non-us users': (258, 6.7), u'females aged 18-29': (23, 7.1), u'us users': (466, 6.8), u'top 1000 voters': (108, 6.4), u'males aged 45+': (405, 6.8)}","[u'Finland:K-16', u'Sweden:15', u'UK:A', u'USA:Approved::(PCA #16386)']",,,[u'Black and White'],,
actor,movie,"The Beast from 20,000 Fathoms",1953,[u'80'],"[u'Adventure', u'Horror', u'Sci-Fi']","A ferocious dinosaur awakened by an Arctic atomic test terrorizes the North Atlantic and, ultimately, New York City.",6.7,5369,"{1: 49, 2: 44, 3: 87, 4: 181, 5: 536, 6: 1199, 7: 1705, 8: 843, 9: 307, 10: 418}","{u'aged 45+': (1951, 6.8), u'imdb staff': (1, 6.0), u'aged 30-44': (1647, 6.5), u'females': (345, 6.6), u'females aged 30-44': (116, 6.3), 'all votes': (5369, 6.7), u'females aged 45+': (169, 6.7), u'males': (4007, 6.7), u'aged 18-29': (696, 6.9), u'males under 18': (9, 7.6), u'males aged 18-29': (637, 6.9), u'males aged 30-44': (1511, 6.5), u'non-us users': (1853, 6.5), u'females aged 18-29': (52, 6.9), u'us users': (2202, 6.8), u'aged under 18': (9, 7.6), u'top 1000 voters': (282, 6.2), u'males aged 45+': (1761, 6.8)}","[u'Australia:PG', u'Finland:K-16', u'Sweden:15', u'UK:X::(original rating)', u'UK:PG::(video)', u'USA:Approved::(PCA #16143, General Audience)', u'West Germany:12::(nf)']",,,"[u'Black and White', u'Black and White::(Sepiatone)']",,
actor,movie,Code Two,1953,[u'69'],"[u'Crime', u'Drama']","The adventures of motorcycle cops, from their academy days, to chasing crooked truckers.",6.4,238,"{1: 2, 2: 4, 3: 4, 4: 12, 5: 33, 6: 57, 7: 69, 8: 28, 9: 12, 10: 17}","{u'aged 45+': (146, 6.3), u'aged 30-44': (45, 6.4), u'females': (32, 7.5), u'females aged 30-44': (11, 7.5), 'all votes': (238, 6.4), u'females aged 45+': (17, 7.5), u'males': (172, 6.2), u'males aged 18-29': (7, 6.1), u'aged 18-29': (11, 6.5), u'males aged 30-44': (34, 6.1), u'non-us users': (75, 6.3), u'females aged 18-29': (4, 7.2), u'us users': (122, 6.3), u'top 1000 voters': (40, 6.2), u'males aged 45+': (125, 6.2)}","[u'Finland:K-16', u'UK:U', u'USA:Approved::(PCA #16229)']",,,[u'Black and White'],,
actor,tv series,The Adventures of Ozzie and Harriet,1952,[u'30::(435 episodes)'],"[u'Comedy', u'Family']","As the sons age, we go through their teenage dating problems, marriage and careers.",7.5,834,"{1: 26, 2: 7, 3: 11, 4: 15, 5: 37, 6: 103, 7: 161, 8: 188, 9: 96, 10: 190}","{u'aged 45+': (471, 7.6), u'imdb staff': (1, 1.0), u'aged 30-44': (142, 6.9), u'females': (190, 7.8), u'females aged 30-44': (45, 7.9), 'all votes': (834, 7.5), u'females aged 45+': (114, 7.9), u'males': (504, 7.3), u'aged 18-29': (57, 7.4), u'males aged 18-29': (36, 7.3), u'males aged 30-44': (96, 6.4), u'non-us users': (85, 7.1), u'females aged 18-29': (21, 7.6), u'us users': (538, 7.5), u'females under 18': (1, 10.0), u'aged under 18': (1, 10.0), u'top 1000 voters': (77, 7.0), u'males aged 45+': (355, 7.5)}","[u'Japan:G', u'USA:TV-G']",,,"[u'Black and White', u'Color']",,
actor,tv series,The George Burns and Gracie Allen Show,1950,[u'30'],[u'Comedy'],Neighbor Blanche Morton frequently joins Gracie in escapades which annoy hubby Harry and provide George with an opportunity to offer a humorous soliloquy.,8.7,896,"{1: 14, 2: 1, 3: 4, 4: 14, 5: 13, 6: 33, 7: 74, 8: 160, 9: 224, 10: 359}","{u'aged 45+': (511, 8.9), u'aged 30-44': (161, 7.8), u'females': (212, 8.7), u'females aged 30-44': (63, 8.2), 'all votes': (896, 8.7), u'females aged 45+': (117, 8.8), u'males': (538, 8.7), u'males aged 18-29': (36, 8.6), u'aged 18-29': (61, 8.7), u'males aged 30-44': (93, 7.5), u'non-us users': (81, 8.0), u'females aged 18-29': (25, 8.9), u'us users': (580, 8.7), u'top 1000 voters': (65, 8.2), u'males aged 45+': (390, 8.9)}",[u'Australia:G'],,,[u'Black and White'],,
actor,movie,Down Among the Sheltering Palms,1953,[u'87'],"[u'Comedy', u'Musical', u'Romance']",War-weary Captain Willoby and his men are the occupation force on an island of lovely women...and are forbidden to fraternize.,5.5,73,"{1: 4, 2: 2, 3: 5, 4: 7, 5: 20, 6: 15, 7: 9, 8: 3, 9: 5, 10: 3}","{u'aged 45+': (37, 5.4), u'aged 30-44': (22, 5.7), u'females': (11, 5.7), u'females aged 30-44': (5, 4.6), 'all votes': (73, 5.5), u'females aged 45+': (5, 6.8), u'males': (49, 5.6), u'males aged 18-29': (2, 6.5), u'aged 18-29': (3, 6.3), u'males aged 30-44': (17, 5.9), u'non-us users': (17, 5.0), u'females aged 18-29': (1, 6.0), u'us users': (43, 5.7), u'top 1000 voters': (14, 5.3), u'males aged 45+': (30, 5.4)}","[u'UK:A', u'USA:Passed::(National Board of Review)', u'USA:Approved::(PCA #15195)']",,,[u'Color::(Technicolor)'],,
actor,movie,The Big Sky,1952,"[u'140', u'122::(edited version)', u'West Germany:95']","[u'Drama', u'Western']",The success of the journey focuses on keeping the Indian girl alive as well as themselves to complete trade with the Blackfeet.,7.1,3217,"{1: 18, 2: 16, 3: 42, 4: 66, 5: 205, 6: 516, 7: 1031, 8: 718, 9: 300, 10: 305}","{u'aged 45+': (1373, 7.1), u'imdb staff': (1, 7.0), u'aged 30-44': (974, 7.0), u'females': (233, 6.8), u'females aged 30-44': (79, 6.7), 'all votes': (3217, 7.1), u'females aged 45+': (117, 6.8), u'males': (2393, 7.1), u'aged 18-29': (259, 7.2), u'males aged 18-29': (226, 7.2), u'males aged 30-44': (883, 7.0), u'non-us users': (1525, 7.1), u'females aged 18-29': (30, 7.1), u'us users': (985, 7.1), u'females under 18': (1, 7.0), u'aged under 18': (1, 7.0), u'top 1000 voters': (255, 6.9), u'males aged 45+': (1246, 7.1)}","[u'Argentina:Atp', u'Australia:PG', u'Finland:K-16', u'Norway:A::(1953)', u'Sweden:15', u'UK:U::(original rating)', u'UK:PG::(tv rating)', u'USA:Approved::(MPAA rating: certificate #15447)', u'USA:Passed::(National Board of Review) (uncredited)', u'West Germany:6::(cinema rating: cut version)']",,,[u'Black and White'],,
