movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget
0053534,actor,tv series,Route 66,1960,,[u'Adventure'],"[u'60', u'60::(116 episodes)']",7.7,1002,[u'Black and White'],The adventures of two young drifters across America.,[u'en'],[u'us'],
0041023,actor,tv series,Fireside Theatre,1949,1.33 : 1,[u'Drama'],[u'30'],8.3,42,[u'Black and White'],An anthology series which became the first successful filmed series on American television.,[u'en'],[u'us'],
0045684,actor,movie,Devil's Canyon,1953,1.37 : 1,"[u'Action', u'Crime', u'Drama', u'Romance', u'Western']","[u'92', u'West Germany:85']",5.1,258,[u'(Technicolor)'],"In 1897 Arizona, an ex-marshal is sent to the territorial prison where many of his enemies, among guards and inmates alike, are eager for a chance at payback.",[u'en'],[u'us'],
0045566,actor,movie,A Blueprint for Murder,1953,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Mystery', u'Thriller']",[u'77'],6.8,913,[u'Black and White'],"Whitney Cameron suspects his sister-in-law has poisoned his brother and niece, but without proof how does he prevent the murder of his nephew?",[u'en'],[u'us'],
0045546,actor,movie,"The Beast from 20,000 Fathoms",1953,1.37 : 1,"[u'Adventure', u'Horror', u'Sci-Fi']",[u'80'],6.7,5372,"[u'Black and White', u'Black and White::(Sepiatone)']","A ferocious dinosaur awakened by an Arctic atomic test terrorizes the North Atlantic and, ultimately, New York City.","[u'en', u'fr']",[u'us'],"[u'$210,000 (estimated)']"
0045636,actor,movie,Code Two,1953,1.37 : 1,"[u'Crime', u'Drama']",[u'69'],6.4,238,[u'Black and White'],"The adventures of motorcycle cops, from their academy days, to chasing crooked truckers.",[u'en'],[u'us'],
0044230,actor,tv series,The Adventures of Ozzie and Harriet,1952,1.33 : 1,"[u'Comedy', u'Family']",[u'30::(435 episodes)'],7.5,835,"[u'Black and White', u'Color']","As the sons age, we go through their teenage dating problems, marriage and careers.",[u'en'],[u'us'],
0042111,actor,tv series,The George Burns and Gracie Allen Show,1950,1.33 : 1,[u'Comedy'],[u'30'],8.6,899,[u'Black and White'],Neighbor Blanche Morton frequently joins Gracie in escapades which annoy hubby Harry and provide George with an opportunity to offer a humorous soliloquy.,[u'en'],[u'us'],"[u'$35,000 (estimated)']"
0045702,actor,movie,Down Among the Sheltering Palms,1953,1.37 : 1,"[u'Comedy', u'Musical', u'Romance']",[u'87'],5.5,73,[u'(Technicolor)'],War-weary Captain Willoby and his men are the occupation force on an island of lovely women...and are forbidden to fraternize.,[u'en'],[u'us'],
0044419,actor,movie,The Big Sky,1952,1.37 : 1,"[u'Drama', u'Western']","[u'140', u'122::(edited version)', u'West Germany:95']",7.1,3217,[u'Black and White'],The success of the journey focuses on keeping the Indian girl alive as well as themselves to complete trade with the Blackfeet.,"[u'en', u'fr']",[u'us'],"[u'$2,000,000 (estimated)']"
0045323,actor,movie,What Price Glory,1952,1.37 : 1,"[u'Comedy', u'Drama', u'Musical', u'Romance', u'War']",[u'111'],6.3,936,[u'(Technicolor)'],"The wartime romantic misadventures of Captain Flagg, commander of a company of US Marines in 1918 France.","[u'en', u'fr']",[u'us'],
0044513,actor,movie,Confidence Girl,1952,1.37 : 1,"[u'Crime', u'Drama']",[u'81'],6.0,121,[u'Black and White'],"Two conartists swindle a Los Angeles department store out of a mink coat, cheat a pawnbroker out of $8000 and leave the police baffled.",[u'en'],[u'us'],
0045334,actor,movie,Without Warning!,1952,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']",[u'77'],6.7,322,[u'Black and White'],"Quiet, unobtrusive LA citizen Carl Martin picks up look-alikes for his estranged blonde wife and murders them with garden shears.",[u'en'],[u'us'],
0045074,actor,movie,Red Skies of Montana,1952,1.37 : 1,"[u'Action', u'Adventure', u'Drama', u'Romance']",[u'99'],6.6,335,[u'(Technicolor)'],Drama dealing with the hazardous work of the U. S. Forest Service's paratroop fire-fighters in Montana.,[u'en'],[u'us'],
0179868,actor,movie,Indian Uprising,1952,1.37 : 1,[u'Western'],[u'75'],6.0,143,[u'(Supercinecolor)'],"In 1885 Arizona, prospectors illegally dig for gold on Apache lands, triggering an Apache retaliation against white settlers and trespassing miners, while the Army tries keeping the peace.",[u'en'],[u'us'],
0043170,actor,tv series,Adventures of Wild Bill Hickok,1951,1.33 : 1,[u'Western'],[u'30::(113 episodes)'],8.0,120,"[u'Black and White', u'Color']","Hickok rode Buckshot and 300-pound Jingles rode Joker. Jingles described Hickok as ""the bravest, Strongest, fightingest U.S. Marshal in the whole West."" And that's about it: he beat up all the bad guys and somehow kept his good looks.",[u'en'],[u'us'],"[u'$25,000 (estimated)']"
0044216,actor,movie,The Wild Blue Yonder,1951,1.37 : 1,"[u'Drama', u'War']",[u'98'],6.6,68,[u'Black and White'],Training Boeing B-29 Superfortress Crew.,[u'en'],[u'us'],
0044036,actor,movie,Silver City,1951,1.37 : 1,[u'Western'],[u'90'],5.8,141,[u'(Technicolor)'],"Having masterminded the hold up of his company office, a mining engineer is barred from the industry. He then sets up shop as an assayer, scheming to acquire a rich silver mine lease from its operators.",[u'en'],[u'us'],
0042093,actor,tv series,The Cisco Kid,1950,1.33 : 1,[u'Western'],[u'30::(156 episodes)'],7.4,391,"[u'Black and White', u'Color']",The Cisco Kid and his English-mangling sidekick Pancho travel the old west in the grand tradition of the Lone Ranger...,[u'en'],[u'us'],
