,movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget,arithmetic_mean,demographic,number_of_votes,median,keywords,taglines,trivia,release_dates
0,2338232,producer,tv series,The Michael J. Fox Show,2013,1.78 : 1,['Comedy'],30,6.6,4755.0,[],A comedy inspired by the life of Michael J. Fox.,[u'en'],[u'us'],,6.9,"{u'aged 45+': (741, 6.2), u'imdb staff': (3, 4.0), u'aged 30-44': (1845, 6.5), u'females': (1110, 6.7), u'females aged 30-44': (488, 6.5), 'all votes': (4755, 6.6), u'females aged 45+': (227, 6.5), u'males': (2934, 6.6), u'males aged 18-29': (915, 6.9), u'males under 18': (8, 8.7), u'aged 18-29': (1247, 6.9), u'males aged 30-44': (1334, 6.5), u'non-us users': (1731, 6.5), u'females aged 18-29': (313, 7.0), u'us users': (1339, 6.5), u'females under 18': (1, 7.0), u'aged under 18': (9, 8.7), u'top 1000 voters': (102, 6.1), u'males aged 45+': (505, 6.1)}","{1: 165, 2: 99, 3: 152, 4: 241, 5: 464, 6: 642, 7: 1027, 8: 748, 9: 354, 10: 863}",7.0,"[u'period-in-series-title', u'name-in-series-title', u'actor-name-in-series-title', u'family-relationships', u'boy', u'father-son-relationship', u'mother-daughter-relationship', u'teenage-daughter', u'teenager', u'blonde-woman', u'breaking-the-fourth-wall', u'tv-personality', u'2010s', u'redhead-boy', u'newsroom', u'aunt-niece-relationship', u'aunt-nephew-relationship', u'sister-in-law-sister-in-law-relationship', u""parkinson's-disease"", u'talking-to-the-camera', u'scene-during-end-credits', u'scene-before-opening-credits', u'sitcom', u'new-york-city', u'younger-brother', u'redheaded-child', u'teenage-boy', u'teenage-girl', u'brother-sister-relationship', u'husband-wife-relationship', u'news-anchor', u'dysfunctional-family', u'actor-shares-first-name-with-character']",[u'Still got it.'],"[u""While the pilot was in development, Mike's original surname was Burnaby, named for the Vancouver suburb where Michael J. Fox spent most of his childhood. Upon NBC picking this up, it was changed to Henry."", u'Michael J. Fox (Mike Henry) and Christopher Lloyd (Principal McTavish) appeared in the Back to the Future trilogy and Spin City (1996).']","[u'USA::2013', u'Canada::25 September 2013', u'USA::26 September 2013', u'Australia::15 January 2014', u'Netherlands::2 March 2014', u'Japan::25 April 2014', u'Sweden::12 June 2014']"
1,353528,producer,tv movie,Hench at Home,2003,,['Comedy'],,5.8,20.0,[],A pro hockey player spends more time with his family after he is forced to retire.,[u'en'],[u'us'],,5.8,"{u'aged 45+': (5, 3.6), u'aged 30-44': (9, 7.4), u'females': (4, 6.5), u'females aged 30-44': (2, 6.5), 'all votes': (20, 5.8), u'females aged 45+': (1, 10.0), u'males': (13, 6.0), u'males aged 18-29': (2, 10.0), u'aged 18-29': (3, 7.7), u'males aged 30-44': (7, 7.4), u'non-us users': (5, 7.5), u'females aged 18-29': (1, 3.0), u'us users': (12, 3.5), u'top 1000 voters': (4, 5.0), u'males aged 45+': (4, 4.8)}","{1: 2, 2: 0, 3: 5, 4: 2, 5: 2, 6: 1, 7: 1, 8: 0, 9: 1, 10: 6}",5.0,[u'tv-series-pilot'],"[u""It looks like we don't have any Taglines for this title yet.""]",,
2,296392,producer,tv movie,Otherwise Engaged,2002,,[],,,,[],,[u'en'],[u'us'],,,{},,,[u'unsold-tv-series-pilot'],"[u""It looks like we don't have any Taglines for this title yet.""]",,
3,115369,producer,tv series,Spin City,1996,1.33 : 1,['Comedy'],30145,7.3,22775.0,[],"In this sitcom, Charlie, who takes Mike Flaherty's place in later years, is the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media.",[u'en'],[u'us'],,7.4,"{u'aged 45+': (2767, 7.2), u'imdb staff': (3, 7.7), u'aged 30-44': (11410, 7.3), u'females': (3662, 7.1), u'females aged 30-44': (1869, 7.1), 'all votes': (22775, 7.3), u'females aged 45+': (564, 7.3), u'males': (16035, 7.4), u'males aged 18-29': (3936, 7.6), u'males under 18': (7, 7.0), u'aged 18-29': (5091, 7.5), u'males aged 30-44': (9434, 7.4), u'non-us users': (11634, 7.4), u'females aged 18-29': (1116, 7.2), u'us users': (5234, 7.3), u'females under 18': (2, 9.0), u'aged under 18': (9, 7.1), u'top 1000 voters': (280, 6.7), u'males aged 45+': (2179, 7.2)}","{1: 339, 2: 159, 3: 227, 4: 443, 5: 1123, 6: 2699, 7: 6105, 8: 6202, 9: 2630, 10: 2848}",8.0,"[u'mayor', u'new-york-city', u'sitcom', u'scolding', u'rascal', u'gay', u'man-with-glasses', u'live-audience', u'manhattan-new-york-city', u'wainscoting', u'politics', u'political-aide', u'satire', u'actor-shares-first-name-with-character']",[u'Slur campaigns. Cheap shots. Smear tactics. Just another day at the office.'],"[u'Michael J. Fox\'s final episode contained numerous references to his earlier series, Family Ties (1982), including a cameo appearance by Michael Gross (who played Fox\'s father in the earlier series), the doctor he plays has a secretary named Mallory, which was Fox\'s sister\'s name on the show, a reference to a Republican senator named ""Alex P. Keaton"" (Fox\'s earlier character) and Meredith Baxter starred as his mother, who also was his mother in Family Ties (1982).', u""Because he suffered from Parkinson's Disease, Michael J. Fox would often hide his left hand in his pocket."", u""In one episode, Carter (Michael Boatman) and Stewart (Alan Ruck) go to a Rangers game and get a chance to compete in a shot from center contest, Stewart is the only person wearing a Detroit Red Wings jersey, a reference to Alan Ruck's role in Ferris Bueller's Day Off (1986)."", u'The Mayor (Barry Bostwick) is frequently seen wearing an ""I Survived Rocky Horror"" pin. Bostwick starred in The Rocky Horror Picture Show (1975) as Brad Majors.', u""The concept for the show was set in motion after the writers had seen Michael J. Fox in The American President (1995), playing one of the President's political aids. They wanted him to play a similar character for television."", u""Charlie Sheen's father, Martin, appeared on the show as Charlie Crawford's father, Ray."", u'The titles of most of the episodes are a play on famous movies.', u'The first four seasons of the series were filmed in New York City. When Michael J. Fox left the show, and was replaced by Charlie Sheen, production for the remainder of the series moved to Los Angeles.', u'Richard Kind (Paul) and Michael Boatman (Carter) are the only actors to appear in every episode of the series.', u'Tim Allen, Regis Philbin, and David Letterman had cameos. They all voiced Rags the dog. Allen is the more memorable, while one character contemplates jumping out of a window, the dog talks, saying ""Do it, and for God\'s sake, take me with you!""', u""Carla Gugino originally had second billing as reporter Ashley Schaeffer, carrying on a secret romance with Fox's character during the first season. She was subsequently written out to make Mike unattached, allowing more story lines."", u""In Young Guns (1988), Emilio Estevez, who is the brother of Charlie Sheen, shoots a man named Charlie Crawford, which is the name of Sheen's character here. Charlie Crawford is shot in one episode of this show."", u'Seven of the main cast members also appeared on Scrubs (2001). Michael J. Fox - Dr. Kevin Casey (""My Catalyst"" and ""My Porcelain God""); Richard Kind - Harvey Corman (""My New Friend"", ""My Fault"", ""My Malpractical Decision"", and ""My Female Trouble""); Barry Bostwick - Mr. Randolph (""My Dirty Secret""); Michael Boatman - Ron Laver (""My Roommates""); Alexander Chaplin (Gaberman) - Sam Thompson (""My Moment of Un-Truth"", ""My Rite of Passage"", ""My Scrubs""); Heather Locklear - Julie Keaton (""My First Step"" and ""My Fruit Cups"") and Alan Ruck - Mr. Bragin (""My Lucky Day"").', u""Charlie Sheen, who played Deputy Mayor Charlie Crawford, and Alan Ruck, who played Chief of Staff Stuart Bondek, made their breakout performances in Ferris Bueller's Day Off (1986)."", u""Mayor Winston's campaign for U.S. Senate, during the fourth season, was inspired by the intended U.S. Senate run in 2000, by New York City Mayor Rudy Giuliani."", u'Carter was the first non-stereotyped openly gay African-American character to appear regularly on a prime time television series.', u'Sam Lloyd auditioned for the parts of Stuart and Paul. He later made guest appearances in the second and fifth seasons.', u'The Mayor\'s name is ""Randall Winston"". The Associate Producer\'s name is also Randall Winston.', u'First in a trio of sitcoms in which Charlie Sheen portrays a character named Charlie. Two and a Half Men (2003) and Anger Management (2012) are the others.', u'Richard Kind played a fictional big city Mayor on the television series Gotham (2014).', u'During season one only, at the end of the theme song, when the steam is blowing through the pothole cover, different sounds can be heard in each episode: wailing sirens, the rumbling of a train, a school bell, church bells, barking dogs, hissing cats, et cetera.', u'Michael J. Fox (Mike Flaherty) and Christopher Lloyd (Owen Kingston) appeared in the Back to the Future trilogy and The Michael J. Fox Show (2013).', u""The series could have ended when Michael J. Fox left the series. In November 1998, Fox announced he was leaving to spend more time with his family, and work toward a cure for Parkinson's disease. (Charlie Sheen's character, Charlie Crawford, replaced Fox's character Mike Flaherty in the final two seasons.)""]","[u'USA::17 September 1996', u'UK::10 January 1997', u'Sweden::27 January 1997', u'Australia::15 July 1997', u'Italy::1 September 1997', u'Brazil::17 October 1997', u'Germany::27 October 1997', u'Portugal::18 December 1997', u'Hungary::18 June 1998', u'Switzerland::27 August 2000 (French speaking region)', u'Turkey::1 March 2002']"
4,177431,producer,tv series,Anna Says,1999,,[],,,,[],,[u'en'],"[u'ca', u'us']",,,{},,,,"[u""It looks like we don't have any Taglines for this title yet.""]",,
5,112702,producer,movie,Coldblooded,1995,1.85 : 1,"['Action', 'Comedy', 'Thriller']",92,6.8,3040.0,[],A bookie is promoted to Hitman and seemingly excels at his new found job.,[u'en'],[u'us'],,7.1,"{u'aged 45+': (572, 6.6), u'aged 30-44': (1513, 6.8), u'females': (205, 6.7), u'females aged 30-44': (105, 6.6), 'all votes': (3040, 6.8), u'females aged 45+': (62, 6.6), u'males': (2121, 6.8), u'males aged 18-29': (175, 7.0), u'aged 18-29': (207, 7.0), u'males aged 30-44': (1397, 6.8), u'non-us users': (1430, 6.7), u'females aged 18-29': (31, 7.3), u'us users': (771, 6.8), u'top 1000 voters': (103, 6.1), u'males aged 45+': (499, 6.7)}","{1: 69, 2: 52, 3: 58, 4: 116, 5: 256, 6: 470, 7: 702, 8: 600, 9: 330, 10: 387}",7.0,"[u'basement', u'yoga', u'hitman', u'one-word-title', u'wound', u'television', u'shooting-practice', u'shooting-gallery', u'promotion', u'murder', u'money', u'juice', u'ex-boyfriend-ex-girlfriend-relationship', u'doctor', u'debt', u'champagne', u'car', u'cadillac', u'blood', u'blood-spatter', u'black-comedy', u'independent-film']","[u""Cosmo's planning to get his life in order.  He just has to kill a few people first.""]",,"[u'USA::January 1995 (Sundance Film Festival)', u'USA::15 September 1995', u'Germany::2 November 1995', u'Japan::19 January 1996', u'Czech Republic::5 May 1996', u'Slovakia::5 May 1996', u'Portugal::December 1997 (video premiere)', u'UK::17 April 2001 (TV premiere)']"
6,353528,writer,tv movie,Hench at Home,2003,,['Comedy'],,5.8,20.0,[],A pro hockey player spends more time with his family after he is forced to retire.,[u'en'],[u'us'],,5.8,"{u'aged 45+': (5, 3.6), u'aged 30-44': (9, 7.4), u'females': (4, 6.5), u'females aged 30-44': (2, 6.5), 'all votes': (20, 5.8), u'females aged 45+': (1, 10.0), u'males': (13, 6.0), u'males aged 18-29': (2, 10.0), u'aged 18-29': (3, 7.7), u'males aged 30-44': (7, 7.4), u'non-us users': (5, 7.5), u'females aged 18-29': (1, 3.0), u'us users': (12, 3.5), u'top 1000 voters': (4, 5.0), u'males aged 45+': (4, 4.8)}","{1: 2, 2: 0, 3: 5, 4: 2, 5: 2, 6: 1, 7: 1, 8: 0, 9: 1, 10: 6}",5.0,[u'tv-series-pilot'],"[u""It looks like we don't have any Taglines for this title yet.""]",,
7,5507340,actor,tv series,Nightcap,2016,,['Comedy'],21,5.6,218.0,[],"Insanity, absurdity and urgency reign, and it's up to head talent booker Staci (Ali Wentworth) to wrangle both her dysfunctional staff and the myriad of stars who bring their quirks, diva demands and peculiar antics to the set.",[u'en'],[u'us'],,6.3,"{u'aged 45+': (44, 6.0), u'aged 30-44': (80, 5.5), u'females': (63, 5.8), u'females aged 30-44': (26, 5.9), 'all votes': (218, 5.6), u'females aged 45+': (21, 5.7), u'males': (100, 5.5), u'males aged 18-29': (16, 4.6), u'aged 18-29': (27, 4.9), u'males aged 30-44': (52, 5.6), u'non-us users': (49, 4.9), u'females aged 18-29': (11, 5.4), u'us users': (74, 6.2), u'top 1000 voters': (15, 3.9), u'males aged 45+': (23, 6.3)}","{1: 25, 2: 16, 3: 11, 4: 7, 5: 20, 6: 20, 7: 27, 8: 28, 9: 20, 10: 44}",7.0,,"[u""It looks like we don't have any Taglines for this title yet.""]",,[u'USA::16 November 2016']
8,3823672,actor,movie,A.R.C.H.I.E.,2016,,"['Family', 'Sci-Fi']",88,5.0,161.0,,"Isabel Sullivan, who's fifteen, has just moved to a small town to live with her Uncle Paul, who is the town's Mayor...",,[u'ca'],,5.5,"{u'aged 45+': (47, 5.2), u'aged 30-44': (52, 4.2), u'females': (28, 5.8), u'females aged 30-44': (12, 5.1), 'all votes': (161, 5.0), u'females aged 45+': (4, 7.0), u'males': (103, 4.7), u'males aged 18-29': (15, 5.6), u'males under 18': (2, 2.0), u'aged 18-29': (24, 5.5), u'males aged 30-44': (40, 4.0), u'non-us users': (44, 4.7), u'females aged 18-29': (9, 5.4), u'us users': (59, 4.8), u'females under 18': (1, 10.0), u'aged under 18': (3, 4.7), u'top 1000 voters': (18, 3.7), u'males aged 45+': (41, 5.3)}","{1: 13, 2: 9, 3: 13, 4: 26, 5: 28, 6: 21, 7: 16, 8: 8, 9: 3, 10: 24}",5.0,,[u'Part Dog. Part Machine. Totally Awesome.'],"[u'When Aaron says ""Kim Manners"", then corrects to ""Kim Matthews"", it was for a director and producer, who passed away in 2009.', u'Sarah Desjardins\' middle name is also ""Isabel"".', u'Filmed in the Lumsden, Saskatchewan area.']","[u'Turkey::29 June 2016 (TV release)', u'Canada::20 August 2016 (Regina)\n (premiere)', u'Philippines::7 June 2017']"
9,1442462,actor,tv series,The Good Wife,2009,,"['Crime', 'Drama', 'Mystery']",43,8.3,56021.0,[],"Alicia has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.",[u'en'],[u'us'],,8.5,"{u'aged 45+': (8705, 8.2), u'imdb staff': (11, 7.5), u'aged 30-44': (20675, 8.2), u'females': (22878, 8.5), u'females aged 30-44': (10276, 8.5), 'all votes': (56021, 8.3), u'females aged 45+': (3595, 8.6), u'males': (21929, 8.1), u'males aged 18-29': (5475, 8.2), u'males under 18': (33, 7.6), u'aged 18-29': (13098, 8.4), u'males aged 30-44': (10079, 8.0), u'non-us users': (23977, 8.3), u'females aged 18-29': (7480, 8.5), u'us users': (8789, 8.0), u'females under 18': (28, 8.1), u'aged under 18': (61, 7.9), u'top 1000 voters': (241, 6.2), u'males aged 45+': (4957, 8.1)}","{1: 1284, 2: 298, 3: 346, 4: 492, 5: 909, 6: 1758, 7: 4888, 8: 12823, 9: 15630, 10: 17593}",9.0,"[u'law-firm', u'corruption', u'courtroom', u'chicago-illinois', u'working-mom', u'sex-scandal', u'strong-female-character', u'female-lawyer', u'lawsuit', u'court', u'co-worker-co-worker-relationship', u'judiciary', u'judicial-system', u'tension', u'competitiveness', u'loneliness', u'trial', u'secret', u'scheming', u'mother-son-relationship', u'mother-in-law', u'mother-daughter-relationship', u'lie', u'legal', u'lawyer', u'law-partner', u'investigator', u'investigation', u'infidelity', u'imprisonment', u'husband-wife-relationship', u'grandmother', u'female-boss', u'family-relationships', u'district-attorney', u'defense', u'defense-attorney', u'defendant', u'coworker-competition', u'client', u'brother-sister-relationship', u'accusation']","[u'His scandal. Her story.', u""Don't let the name fool you.""]","[u'During an Emmy roundtable for ""Hollywood Reporter"" in 2014, Julianna Margulies revealed that she was only the third choice for the lead part on the show. Ashley Judd and Helen Hunt both turned down the part of Alicia.', u'Julianna Margulies wore a wig for her character Alicia and spent a reported fourteen hours a day, five days a week, and nine months out of the year working on the series.', u""All episode titles in seasons one through four have the same number of words as the number of the season in which they appear. All season one episodes have one-word titles (for example, Doubt), all season two episodes have two-word titles (for example, Real Deal), all season three episodes have three-word titles (for example, After the Fall), and all season four episodes have four-word titles (for example, Anatomy of a Joke). Later seasons reverse this formula. All season five episodes have three-words titles (for example, The Bit Bucket), season six's have two-word titles (for example, Dear God) and season seven episodes have one-word titles (for example, Taxed) completing the cycle."", u""According to Julianna Margulies, after three exhausting years juggling the demanding show schedule and dealing with her baby's first years, she made a deal with Creators Robert King and Michelle King. Starting in season four, for those big courtroom scenes that take several hours to be filmed completely, Margulies would shoot the scenes where Alicia is an active part first, then they would shoot scenes with the other cast members, where she would have to be in the background for coverage once or twice, and then she would leave the set to prepare her next scenes, or have the rest of the day off."", u'On July 11, 2012, during the filming of an episode, in which she was guest-starring, Kristin Chenoweth was struck by a falling piece of lighting equipment. She was knocked unconscious by the blow, and was taken to the hospital in an ambulance. After several months of recovery, in which it was unsure if she would be able to return to her role, Chenoweth reported in September 2012 that her medical issues included not being able to ""form a sentence after it happened"", a skull fracture, and continuing pain in her ribs and hip.', u'The series was partly inspired by the Eliot Spitzer prostitution scandal. It also draws on other prominent American political sex scandals, such those of John Edwards and Bill Clinton. Creator Michelle King also noted that in these political scandals, the women are lawyers (Hillary Clinton, Elizabeth Edwards).', u'During a 2011 interview on the National Public Radio program ""Talk of the Nation,"" Alan Cumming (Eli Gold) confirmed that his character is loosely based on longtime political operative (and, as of 2011, Mayor of Chicago) Rahm Emanuel. Cumming said that Gold\'s undeveloped backstory includes a former career as a concert pianist, inspired by Emanuel\'s early-life, pre-politics ambition to become a professional ballet dancer.', u""The show is set in Chicago, but filmed in New York City. The pilot was filmed in Canada, and filming was planned to continue there, but Julianna Margulies asked the producers to shoot in New York City, because she had just become a mother, and couldn't leave for Canada for nine months a year."", u""Guest stars who have played themselves interacting with the show's fictional characters include: Clinton Administration advisers Vernon Jordan and Donna Brazile; Presidential MSNBC anchor and Political Commentator Chris Matthews; financial television hosts Lou Dobbs and Jim Cramer; and O.J. Simpson's lawyer and co-founder of The Innocence Project Barry Scheck. Actor, lawyer, and politician Fred Dalton Thompson plays Frank Michael Thomas, a thinly veiled version of himself (Thomas is also a former actor, lawyer, and politician). New York City Mayor Michael Bloomberg appeared in the season four finale."", u'Up until the fourth season, all episodes had a title with its count of words increasing monotonically per season (effectively being equal to the season number). For example, season one episodes had a single-word title, season two episodes had a two-word title, et cetera. Beginning with season five, the title word-count started decreasing monotonically. For example, season five episodes have three-word titles, and season six episodes have two-word titles. It could be assumed that season seven is scheduled to be the last one, all episodes having again single-word titles.', u'Creators Robert and Michelle King always made clear that they had a seven-year plan for the show.', u'Elisabeth Shue was considered for the role of Alicia Florrick, but turned down the role to spend more time with her family.', u'At the end of the second quarter of Super Bowl 50 (February 7, 2016), CBS used the transition from the game to the half-time commercial break to announce that 2016 was the final year for the series, and that there were nine first-run episodes remaining.', u'The show earned two Emmy nominations in the Writing category, the first one for the pilot, and the second one for the series finale.', u'Chris Noth, and guest stars Richard Brooks, Jill Hennessy, S. Epatha Merkerson, Fred Dalton Thompson, Julianne Nicholson, Eric Bogosian, and Jay O. Sanders were all series regulars in the ""Law & Order"" franchise. Despite starring in that franchise with all but Thompson and Sanders, with Brooks, Hennessy, and Merkerson in the original series, and with Nicholson and Bogosian in the ""Criminal Intent"" spin-off, Noth does not share a single scene with any of them here.', u'By the time Archie Panjabi\'s Kalinda was written out at the end of season six, rumors had begun to circulate that she and Julianna Margulies did not get along on-set. When asked to comment on this rumor, Margulies explained that since Panjabi was simultaneously shooting segments her television series The Fall (2013) in the UK, the bar scene between both women in this show had to be filmed with body doubles in alternating over-shoulder reverse angle shots, and not because they couldn\'t bear to be in the same two-shots together. For her part, Panjabi has disputed this account of events, Tweeting that not only was her new show not in production at the time, but that she was ""in New York, ready to film the scene"" in question.', u""Elsbeth Tascioni's (Carrie Preston) unseen personal assistant is called Fantasia. The vampire bar in Preston's other show, True Blood (2008), is called Fangtasia."", u""Julianna Margulies, Christine Baranski, Zach Grenier, and Mary Beth Peil were all guest stars (on separate episodes) on Law & Order (1990) during Chris Noth's run on the show. Margulies played a young Naval officer involved in an illicit affair, who was questioned by Noth's Detective Mike Logan."", u'The creators of the show tried to have Carrie Preston for several episodes in season seven, but her contract with Crowded (2016) only allowed her to do one.', u'The name Alicia means ""truthful"".', u'In Dead Poets Society (1989), a young Josh Charles played a prep school student who was destined to become a ""great lawyer."" In Snakes on a Plane (2006), Julianna Margulies played a flight attendant who was quitting her job to go to law school.', u'Cush Jumbo (Lucca) joined the series cast in season seven after Christine Baranski suggested to Creators Robert King and Michelle King that they see her in the one-woman show ""Josephine and I"" (about jazz singer Josephine Baker) at New York\'s Public Theater in 2015. Cush had been an avid fan of the series from the very beginning.']","[u'Canada::22 September 2009', u'USA::22 September 2009', u'Brazil::9 November 2009', u'Singapore::January 2010', u'Thailand::January 2010', u'Taiwan::January 2010', u'Netherlands::1 January 2010', u'Spain::7 January 2010', u'United Arab Emirates::19 January 2010', u'Poland::20 January 2010', u'Turkey::22 January 2010', u'Bulgaria::24 January 2010', u'Czech Republic::24 January 2010', u'Hungary::24 January 2010', u'UK::25 January 2010', u'New Zealand::February 2010', u'South Africa::February 2010', u'Australia::7 February 2010', u'Switzerland::3 March 2010 (Italian speaking region)', u'Norway::10 March 2010', u'Ireland::15 March 2010', u'Germany::31 March 2010', u'Sweden::13 April 2010', u'Hong Kong::22 April 2010', u'Finland::31 May 2010', u'Philippines::8 July 2010', u'Slovakia::22 August 2010', u'Slovenia::7 September 2010', u'Portugal::14 September 2010', u'Japan::5 October 2010', u'Italy::9 October 2010', u'Greece::28 October 2010', u'Switzerland::5 November 2010 (French speaking region)', u'Croatia::4 January 2011', u'France::3 February 2011', u'Belgium::4 February 2011 (French speaking region)']"
