role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
producer,movie,The Eagle Huntress,2016,[u'87'],"[u'Documentary', u'Adventure', u'Sport']",Thirteen-year-old Aisholpan trains to become the first female in twelve generations of her Kazakh family to become an eagle huntress.,7.5,2196,"{1: 42, 2: 16, 3: 18, 4: 25, 5: 74, 6: 231, 7: 518, 8: 618, 9: 314, 10: 340}","{u'aged 45+': (501, 7.5), u'imdb staff': (1, 7.0), u'aged 30-44': (705, 7.4), u'females': (395, 8.1), u'females aged 30-44': (125, 8.2), 'all votes': (2196, 7.5), u'females aged 45+': (109, 8.0), u'males': (1336, 7.4), u'aged 18-29': (444, 7.5), u'males under 18': (2, 8.0), u'males aged 18-29': (308, 7.3), u'males aged 30-44': (573, 7.3), u'non-us users': (913, 7.4), u'females aged 18-29': (128, 8.1), u'us users': (531, 7.5), u'aged under 18': (2, 8.0), u'top 1000 voters': (45, 6.3), u'males aged 45+': (382, 7.4)}","[u'da:G::(British Columbia)', u'Germany:0', u'Netherlands:AL', u'Singapore:PG', u'South Korea:All::(2017)', u'Switzerland:6', u'UK:U', u'USA:G::(certificate #50520)']",72,,[u'Color'],,
actress,movie,Chaos Walking,2019,,[u'Sci-Fi'],"A dystopian world where there are no women and all living creatures can hear each others' thoughts in a stream of images, words, and sounds called Noise.",,,,,,,,,,
actress,movie,Peter Rabbit,2018,,"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy']",Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.,,,,,,,,[u'Color'],,
actress,movie,Ophelia,2018,,"[u'Drama', u'Romance']","A re-imagining of Hamlet, told from Ophelia's perspective.",,,,,,,,[u'Color'],,
actress,movie,Star Wars: The Last Jedi,2017,[u'150'],"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']","Having taken her first steps into a larger world in  (2015), Rey continues her epic journey with Finn, Poe, and Luke Skywalker in the next chapter of the saga.",,,,,,,,[u'Color'],,
actress,video game,Star Wars: Battlefront II,2017,,"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi', u'War']","A game based on the Star Wars Universe, taking place across multiple eras of the franchise",,,,,"[u'Singapore:G', u'UK:12', u'USA:T']",,,[u'Color'],,
actress,movie,Murder on the Orient Express,2017,,"[u'Crime', u'Drama', u'Mystery']","A lavish train ride unfolds into a stylish & suspenseful mystery. From the novel by Agatha Christie, Murder on the Orient Express tells of thirteen stranded strangers & one man's race to solve the puzzle before the murderer strikes again.",,,,,[u'USA:PG-13::(certificate #51021)'],,Rated PG-13 for violence and thematic elements,[u'Color'],,
actress,movie,A Woman of No Importance,,,"[u'Biography', u'Drama', u'War']","The story of American spy, Virginia Hall, who worked for the British intelligence during World War II.",,,,,,,,,,
actress,movie,Kolma,,,"[u'Drama', u'Fantasy', u'Thriller']",A remarried widow is given an unusual offer to relive her first love as the end of her life draws closer.,,,,,,,,[u'Color'],,
actress,tv series,Star Wars: Forces of Destiny,2017,[u'3'],"[u'Animation', u'Adventure', u'Family', u'Sci-Fi']",Small moments and everyday decisions shape a larger heroic saga.,6.2,293,"{1: 43, 2: 16, 3: 15, 4: 14, 5: 19, 6: 52, 7: 45, 8: 30, 9: 11, 10: 48}","{u'aged 45+': (20, 6.0), u'aged 30-44': (69, 6.2), u'females': (20, 7.0), u'females aged 30-44': (3, 9.0), 'all votes': (293, 6.2), u'females aged 45+': (1, 7.0), u'males': (192, 6.1), u'aged 18-29': (100, 6.2), u'males under 18': (5, 5.9), u'males aged 18-29': (87, 6.1), u'males aged 30-44': (65, 6.1), u'non-us users': (98, 5.7), u'females aged 18-29': (13, 6.7), u'us users': (56, 7.3), u'aged under 18': (5, 5.9), u'top 1000 voters': (10, 7.0), u'males aged 45+': (19, 6.0)}",,,,[u'Color'],,
