,movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget,arithmetic_mean,demographic,number_of_votes,median,keywords,taglines,trivia,release_dates,Action,Biography,Drama,War,Sport,Crime,Game-Show,Reality-TV,Thriller,Documentary,Music,Romance,Adventure,Short,Comedy,Horror,Animation,Family,Fantasy,Sci-Fi,Mystery,History,Western,Musical,Film-Noir,Talk-Show
0,4155680,producer,movie,CobraGator,2017,,"['Action', 'Sci-Fi']",,,,[],"A gigantic, mutated, reptile attacks the population of an unprepared city.",[u'en'],[u'us'],1000000,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]",,[u'USA::2017'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5493706,producer,video movie,Death Race 2050,2017,,"['Action', 'Comedy', 'Sci-Fi', 'Sport']",90,3.7,3106.0,[],"In the year 2050 the planet has become overpopulated, to help control population the government develops...",[u'en'],[u'us'],,3.9,"{u'aged 45+': (499, 3.9), u'aged 30-44': (1240, 3.8), u'females': (153, 4.1), u'females aged 30-44': (66, 3.8), 'all votes': (3106, 3.7), u'females aged 45+': (28, 4.3), u'males': (2304, 3.7), u'aged 18-29': (558, 3.5), u'males under 18': (7, 2.8), u'males aged 18-29': (511, 3.4), u'males aged 30-44': (1153, 3.8), u'non-us users': (1162, 3.4), u'females aged 18-29': (41, 4.4), u'us users': (704, 4.3), u'aged under 18': (7, 2.8), u'top 1000 voters': (96, 3.5), u'males aged 45+': (461, 3.8)}","{1: 809, 2: 415, 3: 417, 4: 313, 5: 349, 6: 240, 7: 201, 8: 131, 9: 59, 10: 172}",3.0,"[u'competitor', u'government', u'death', u'2050s', u'passionate-kiss', u'mayhem', u'driving-on-two-wheels', u'impaled', u'mortar', u'land-mine', u'all-terrain-vehicle', u'some-scenes-in-black-and-white', u'motorcycle-gang', u'humble', u'two-fingered-obscene-gesture', u'driving-off-a-cliff', u'explosive-vest', u'car-explosion', u'fictional-tv-commercial', u'tear-on-cheek', u'playing-chicken', u'monarch-butterfly', u'kitten-playing-with-a-butterfly', u'voluntary-human-sacrifice', u'upstart-gymnastic-exercise', u'stupid-computer', u'fan-club', u'cigar-store-indian', u'confederate-flag', u'cut-in-half', u""camera-shot-of-a-woman's-butt"", u'pump-action-shotgun', u'bolt-action-rifle', u'closeted-homosexual', u'bumping-head', u'road-map', u'woman-wearing-red-lingerie', u'female-in-a-shower', u'sportscaster', u'checkpoint', u'woman-dancing-in-a-bikini', u'female-orgasm', u'man-wearing-big-hair', u'flame-thrower', u'child-in-a-wheelchair', u'smashing-a-television', u'man-wearing-a-thong', u'genetically-engineered-human', u'pokies', u'checkered-flag', u'self-driving-car', u'vibrator', u'booing-crowd', u'blue-martini', u'115-year-old-woman', u'spiral-road', u'bare-breasts', u'pregnant', u'giant-hologram', u'covered-with-blood', u'topless-in-public', u'oversized-hot-dog', u'altered-american-flag', u'geodesic-dome', u'cheerleader', u'bucket-of-popcorn', u'topical-humor', u'media-spoof', u'drone-attack', u'rebellion', u'orgasm', u'no-opening-credits', u'arm-wrestling', u'stabbed-through-the-mouth', u'idealism', u'future-shock', u'black-humor', u'dark-comedy', u'nihilism', u'redemption', u'rescue', u'escape', u'usa', u'russian', u'machete', u'chicken', u'car-rollover', u'overturning-car', u'post-apocalypse', u'blowtorch', u'falling-from-height', u'tv-host', u'over-the-top', u'snowglobe', u'fantasy-sequence', u'insecurity', u'eccentric', u'female-psychopath', u'psychopath', u'slapstick-comedy', u'one-liner', u'nihilist', u'dutch-angle', u'dictator', u'reference-to-the-dalai-lama', u'severed-face', u'media-manipulation', u'corporatism', u'consumerism', u'capitalism', u'bruise', u'religious-fundamentalist', u'raised-middle-finger', u'obscene-finger-gesture', u'absurd-violence', u'broken-leg', u'reference-to-dwayne-johnson', u'competition', u'latin-american', u'cross-country-race', u'sociopath', u'laughing', u'head-blown-off', u'anarchy', u'chaos', u'destruction', u'self-sacrifice', u'jealousy', u'hip-hop-music', u'forest', u'woods', u'religious-fanatic', u'fanatic', u'social-decay', u'political-corruption', u'totalitarianism', u'television', u'doctor', u'wheelchair', u'danger', u'faith', u'helmet-camera', u'headset', u'cattle-prod', u'near-death-experience', u'hit-with-a-chair', u'bed', u'seduction', u'class-differences', u'action-hero', u'reporter', u'watching-tv', u'broadcaster', u'one-against-many', u'suitcase', u'mind-control', u'fellatio', u'terrorist-group', u'athlete', u'champion', u'population-control', u'reference-to-frankenstein', u'chairman', u'racetrack', u'symbol', u'race-car-driver', u'passenger', u'driver', u'stick-fight', u'whip', u'whipping', u'sex-slave', u'dominatrix', u'drone', u'unemployment', u'hypocrisy', u'cynicism', u'split-screen', u'corpse', u'church', u'hippie', u'fire', u'molotov-cocktail', u'ambiguous-ending', u'kiss', u'riot', u'school-principal', u'school', u'beach', u'gas-station', u'statue', u'graveyard', u'run-over-by-a-car', u'child-in-peril', u'barn', u'racism', u'ethnic-slur', u'racial-slur', u'rap-music', u'hatred', u'anger', u'combover', u'sunglasses', u'bodyguard', u'poetic-justice', u'bar', u'interracial-friendship', u'rap-singer', u'ninja', u'face-paint', u'stupid-victim', u'spear-throwing', u'spear-gun', u'improvised-weapon', u'undercover', u'attempted-murder', u'hand-grenade', u'repeated-line', u'narcissism', u'narcissist', u'bare-chested-male', u'brawl', u'fight', u'fistfight', u'beating', u'face-slap', u'man-slaps-a-woman', u'punched-in-the-chest', u'punched-in-the-face', u'slow-motion-scene', u'hallucination', u'insanity', u'kicked-in-the-stomach', u'kicked-in-the-face', u'double-entendre', u'sexual-innuendo', u'torso-cut-in-half', u'dismemberment', u'severed-arm', u'severed-leg', u'severed-head', u'booby-trap', u'ambush', u'flamethrower', u'singing', u'decapitation', u'shot-through-a-window', u'stabbed-in-the-leg', u'stabbed-in-the-back', u'stabbed-in-the-hand', u'stabbed-in-the-arm', u'stabbed-in-the-head', u'stabbed-in-the-face', u'stabbed-to-death', u'disembowelment', u'stabbed-in-the-chest', u'stabbed-in-the-shoulder', u'graphic-violence', u'stabbed-in-the-neck', u'stabbed-in-the-throat', u'impalement', u'self-destruct-mechanism', u'suicide-bomber', u'suicide', u'dog', u'cat', u'honor', u'loner', u'tough-guy', u'anti-hero', u'warrior', u'interview', u'mob-of-reporters', u'helmet', u'sabotage', u'shower', u'hotel', u'crushed-by-a-car', u'crushed-head', u'body-landing-on-a-car', u'thrown-from-a-car', u'hit-by-a-car', u'cornfield', u'hope', u'ranch', u'horse', u'cult-leader', u'cult', u'female-fighter', u'female-spy', u'femme-fatale', u'spy', u'black-comedy', u'f-word', u'rebel', u'resistance-fighter', u'futuristic', u'cyberpunk', u'fight-the-system', u'social-commentary', u'utah', u'oklahoma', u'south-dakota', u'las-vegas-nevada', u'baltimore-maryland', u'kansas', u'washington-d.c.', u'cross-country', u'atlanta-georgia', u'new-mexico', u'new-jersey', u'los-angeles-california', u'texas', u'arkansas', u'new-york-city', u'abandoned-city', u'desert', u'map', u'surveillance', u'brutality', u'mercilessness', u'sadist', u'sadism', u'suitcase-bomb', u'resistance', u'dynamite', u'reference-to-tom-hanks', u'redneck', u'southern-accent', u'sole-black-character-dies-cliche', u'african-american', u'revenge', u'rivalry', u'rival', u'female-inventor', u'inventor', u'genetic-engineering', u'media-coverage', u'surrealism', u'technology', u'held-at-gunpoint', u'visor', u'proxy', u'double-cross', u'betrayal', u'deception', u'body-count', u'mass-murder', u'filmed-killing', u'blood-on-camera-lens', u'gore', u'blood-splatter', u'blood', u'fan', u'murder', u'car-chase', u'chase', u'car-motorcycle-chase', u'parking-garage', u'car-accident', u'car-crash', u'car-stunt', u'car-falling-off-cliff', u'cannon', u'virtual-reality', u'fireworks', u'robot-as-pathos', u'talking-car', u'face-mask', u'cyborg', u'metal-arm', u'robot', u'artificial-intelligence', u'american-flag', u'race-car', u'motorcycle', u'armored-car', u'knife', u'spear', u'sword', u'pistol', u'rifle', u'shotgun', u'ak-47', u'machine-gun', u'bloody-violence', u'exploding-head', u'carsploitation', u'explosion', u'breasts', u'overpopulation', u'absurdism', u'violence', u'grindhouse', u'exploitation', u'campy', u'cgi', u'dystopia', u'u.s.-president', u'stadium', u'cheering-crowd', u'popcorn', u'hologram', u'exploding-body', u'bomb', u'female-terrorist', u'terrorist', u'car-race', u'fictitious-sport', u'exploding-car', u'sequel', u'satire', u'written-by-director', u'b-movie', u'digit-in-title', u'year-in-title', u'remake', u'political-satire', u'comic-violence', u'death-of-friend', u'independent-film', u'number-in-title', u'surprise-ending']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'This is the sequel or soft reboot to Death Race 2000 (1975).', u'The harpoon gun Perfectus attacks Frankenstein with after Checkpoint 2 is a Nerf CS-18 Alpha Trooper with a 6 dart clip instead of the standard 18 dart drum.', u""Frankenstein's gloves are made by tactical supplier Rothco."", u'Jed Perfectus is wearing white Converse All-Star Hi-Top sneakers (aka. Chucks)']","[u'Turkey::9 January 2017 (DVD premiere)', u'USA::17 January 2017', u'Spain::20 January 2017', u'Sweden::13 February 2017 (DVD premiere)', u'Germany::16 February 2017 (DVD and Blu-ray premiere)']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3292154,producer,tv movie,Sharktopus vs. Whalewolf,2015,1.78 : 1,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",85,3.4,778.0,[],"When a mad scientist mixes the genes of a killer whale and a wolf, it creates the Whalewolf, and it's up to Sharktopus to stop it.",[u'en'],[u'us'],6000000,3.9,"{u'aged 45+': (160, 3.4), u'aged 30-44': (288, 3.2), u'females': (97, 3.8), u'females aged 30-44': (44, 3.6), 'all votes': (778, 3.4), u'females aged 45+': (20, 4.4), u'males': (535, 3.2), u'aged 18-29': (157, 3.0), u'males under 18': (5, 4.8), u'males aged 18-29': (127, 2.9), u'males aged 30-44': (242, 3.2), u'non-us users': (308, 2.8), u'females aged 18-29': (29, 3.5), u'us users': (216, 3.8), u'aged under 18': (5, 4.8), u'top 1000 voters': (61, 3.5), u'males aged 45+': (138, 3.3)}","{1: 191, 2: 134, 3: 121, 4: 69, 5: 66, 6: 46, 7: 38, 8: 19, 9: 10, 10: 84}",3.0,"[u'swimming', u'nurse-hat', u'nurse-uniform', u'nurse-outfit', u'nurse', u'water', u'violence', u'sequel']","[u""It looks like we don't have any Taglines for this title yet.""]",[u'Sharktopus 4 was announced on the credits'],"[u'USA::19 July 2015', u'Japan::5 January 2016']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2646956,producer,movie,Fist of the Dragon,2014,,['Action'],85,5.1,51.0,[],"Damon, an MMA fighter retires and goes to China to meet his new love, Meili. But things take an immediate turn when he inadvertently takes a package sought by an underground arms dealer. Now he must fight to save himself and his loved one.",[u'en'],"[u'us', u'cn']",500000,5.1,"{u'aged 45+': (10, 4.0), u'aged 30-44': (24, 4.4), u'females': (6, 2.7), u'females aged 30-44': (5, 3.4), 'all votes': (51, 5.1), u'males': (39, 4.6), u'males aged 18-29': (9, 5.9), u'aged 18-29': (10, 5.3), u'males aged 30-44': (19, 4.5), u'non-us users': (30, 4.4), u'females aged 18-29': (1, 2.0), u'us users': (6, 3.6), u'top 1000 voters': (2, 7.0), u'males aged 45+': (10, 4.0)}","{1: 8, 2: 5, 3: 5, 4: 7, 5: 8, 6: 1, 7: 3, 8: 1, 9: 4, 10: 9}",5.0,"[u'mma', u'mixed-martial-arts', u'martial-arts']","[u""It looks like we don't have any Taglines for this title yet.""]",[u'Won 2 Awards out of 4 Nominations at MartialCon 2016 for: Winner for Best Fight Choreography: Trung Ly. Winner for Female Action Performer of the Year: Maria Tran. Nominated for Breakout Action Star - Female: JuJu Chan. Nominated for Best Feature - Antony Szeto.'],"[u'Thailand::9 October 2014 (DVD premiere)', u'Hong Kong::27 May 2015', u""USA::9 September 2016 (Action on Film Int'l Film Festival)""]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3560658,producer,movie,Operation Rogue,2014,,"['Action', 'Crime', 'Thriller']",88,4.3,462.0,[],"Deep in the jungles of Southeast Asia, a terrorist organization has stolen materials to create a dangerous chemical bomb.","[u'en', u'fil']",[u'us'],,4.6,"{u'aged 45+': (124, 4.2), u'aged 30-44': (192, 4.2), u'females': (28, 5.0), u'females aged 30-44': (13, 5.5), 'all votes': (462, 4.3), u'females aged 45+': (8, 5.2), u'males': (377, 4.3), u'males aged 18-29': (70, 5.0), u'aged 18-29': (76, 5.0), u'males aged 30-44': (178, 4.1), u'non-us users': (247, 4.2), u'females aged 18-29': (4, 6.5), u'us users': (68, 4.8), u'top 1000 voters': (30, 4.2), u'males aged 45+': (115, 4.2)}","{1: 52, 2: 40, 3: 53, 4: 94, 5: 78, 6: 64, 7: 33, 8: 13, 9: 5, 10: 30}",4.0,"[u'terrorist', u'bomb', u'jungle', u'marine', u'kidnapping', u'general', u'captain', u'gym', u'die-hard-scenario', u'pickup-truck', u'meth-lab', u'explosive', u'tnt', u'armored-truck', u'armored-car', u'head-butt', u'woman-kills-a-man', u'woman-fights-a-man', u'street-shootout', u'shooting-range', u'target-practice', u'spitting-blood', u'sole-black-character-dies-cliche', u'brutality', u'tank-top', u'village', u'mortar', u'exploding-helicopter', u'exploding-building', u'exploding-truck', u'explosion', u'exploding-body', u'laptop', u'timebomb', u'exploding-car', u'slow-motion-scene', u'helicopter-pilot', u'helicopter', u'sadism', u'sadist', u'tracking-device', u'cameraman', u'stealing-a-car', u'carjacking', u'thrown-from-a-car', u'disobeying-orders', u'commando-mission', u'commando-raid', u'commando-unit', u'commando', u'female-mercenary', u'ex-marine', u'u.s.-marine-corps', u'military', u'soldier', u'special-forces', u'wilhelm-scream', u'person-on-fire', u'falling-from-height', u'mercenary', u'aircraft-carrier', u'air-strike', u'fighter-jet', u'missile', u'rubber-boat', u'bicycle', u'binoculars', u'sniper-rifle', u'sniper', u'father-daughter-relationship', u'boyfriend-girlfriend-relationship', u'decapitation', u'severed-head', u'threatened-with-a-knife', u'knife', u'machete', u'ransom', u'escape-attempt', u'rescue-mission', u'mission', u'escape', u'rescue', u'held-at-gunpoint', u'hostage', u'motorcycle', u'cigarette-smoking', u'torture', u'drug-smuggler', u'smoke-grenade', u'abandoned-warehouse', u'bag-over-head', u'car-chase', u'shootout', u'gunfight', u'battle', u'battlefield', u'combat', u""general's-daughter"", u'revenge', u'lieutenant', u'sergeant', u'media-coverage', u'limousine', u'news-report', u'race-against-time', u'cell-phone', u'peace-treaty', u'summit', u'satellite-dish', u'rebel', u'camcorder', u'hand-grenade', u'boxing-ring', u'bar', u'body-count', u'blood-splatter', u'blood', u'f-word', u'violence', u'death', u'murder', u'ak-47', u'bazooka', u'rocket-launcher', u'shotgun', u'assault-rifle', u'machine-gun', u'pistol', u'female-warrior', u'tough-girl', u'action-heroine', u'one-against-many', u'warrior', u'tough-guy', u'action-hero', u'kickboxing', u'stylized-violence', u'dual-wield', u'hand-to-hand-combat', u'mixed-martial-arts', u'martial-arts', u'brawl', u'fight', u'fistfight', u'beating', u'punched-in-the-chest', u'punched-in-the-face', u'kicked-in-the-face', u'kicked-in-the-stomach', u'shot-to-death', u'shot-in-the-back', u'shot-in-the-chest', u'shot-in-the-forehead', u'shot-in-the-head', u'unsubtitled-foreign-language', u'terrorist-group', u'terrorist-plot', u'marine-base', u'hijacking', u'terrorism', u'philippines', u'manila-philippines', u'independent-film']","[u""It looks like we don't have any Taglines for this title yet.""]",,"[u'Argentina::17 September 2014 (DVD premiere)', u'UK::22 September 2014 (DVD premiere)', u'Italy::24 September 2014 (DVD premiere)', u'Sweden::16 February 2015 (DVD premiere)']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3743126,producer,tv movie,Sharktopus vs. Pteracuda,2014,1.78 : 1,"['Horror', 'Sci-Fi']",84,3.4,1352.0,[],"An American scientist creates a half-pterodactyl, half-barracuda creature, Pteracuda, which inevitably escapes, leaving the Sharktopus to stop it.",[u'en'],[u'us'],,4.0,"{u'aged 45+': (247, 3.6), u'aged 30-44': (496, 3.4), u'females': (146, 4.0), u'females aged 30-44': (60, 3.9), 'all votes': (1352, 3.4), u'females aged 45+': (33, 5.0), u'males': (979, 3.4), u'aged 18-29': (343, 3.3), u'males under 18': (7, 3.6), u'males aged 18-29': (297, 3.3), u'males aged 30-44': (432, 3.4), u'non-us users': (485, 3.0), u'females aged 18-29': (43, 3.6), u'us users': (432, 3.9), u'aged under 18': (7, 3.6), u'top 1000 voters': (88, 3.3), u'males aged 45+': (211, 3.5)}","{1: 311, 2: 190, 3: 221, 4: 164, 5: 115, 6: 93, 7: 68, 8: 33, 9: 24, 10: 133}",3.0,"[u'scientist', u'tentacled-creature', u'half-shark-half-octopus', u'human-versus-monster', u'hybrid-animal', u'monster-versus-monster', u'video-footage', u'bloody-water', u'tentacle', u'fish', u'wetsuit', u'old-man', u'laptop', u'brochure', u'marine-biologist', u'dolphin', u'sea-monster', u'cooler', u'octopus', u'shark', u'helicopter', u'hitting-a-tree', u'jeep', u'vehicular-accident', u'beach', u'genetically-modified-organism', u'creature-feature', u'genetic-engineering', u'blood-splatter', u'giant-monster', u'machine-gun', u'predatorial-horror', u'ripped-in-half', u'jet-ski', u'head-cut-off', u'bullet-time']","[u'A Love Story', u'Inspired by True Events']","[u""While appearing on Conan it was revealed Producer Roger Corman came out of retirement as a director to direct Conan O'Brien's scene."", u'Production lasted three years. Producer Roger Corman called it ""grueling.""', u'Each stock footage shot cost $60.']","[u'USA::2 August 2014', u'Japan::6 January 2015 (theatrical release)', u'Germany::20 November 2015 (Blu-ray & DVD)', u'UK::11 July 2016 (DVD premiere)']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3010202,producer,movie,Water Wars,2014,,['Action'],78,4.2,61.0,[],"Catastrophic war, destroyed ecosystem, brink of extinction. War for the most valuable treasure of the time: water.",[u'en'],[u'us'],1000000,4.2,"{u'males aged 30-44': (26, 4.0), u'females': (1, 1.0), u'females aged 30-44': (1, 1.0), 'all votes': (61, 4.2), u'males': (51, 3.4), u'males aged 18-29': (7, 2.8), u'aged 18-29': (7, 2.8), u'aged 30-44': (28, 3.8), u'non-us users': (30, 3.1), u'aged 45+': (18, 2.8), u'us users': (12, 3.5), u'top 1000 voters': (6, 6.1), u'males aged 45+': (18, 2.8)}","{1: 16, 2: 7, 3: 12, 4: 6, 5: 3, 6: 1, 7: 3, 8: 1, 9: 1, 10: 11}",3.0,"[u'cunnilingus', u'male-full-rear-nudity', u'female-full-rear-nudity', u'female-full-frontal-nudity', u'stock-footage', u'topless-woman', u'sex-scene', u'cremation', u'attempted-rape']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'Cirio H. Santiago only directed this film for a few days before he had to step down due to a severe illness. Jim Wynorski took over directing the movie after he was flown over to the Philippines at the last minute.', u'Michael Madsen decided to act in this film after Quentin Tarantino told him he should work with director Cirio H. Santiago.']",[u'USA::3 July 2014 (DVD premiere)'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1988591,producer,video movie,Death Race: Inferno,2013,1.78 : 1,"['Action', 'Sci-Fi', 'Thriller']",105,5.5,15432.0,[],"Convicted cop-killer Carl Lucas, aka Frankenstein, is a superstar driver in the brutal prison yard demolition derby known as Death Race. Only one victory away from winning freedom for himself and his pit crew.",[u'en'],"[u'us', u'de', u'za']",6500000,5.8,"{u'aged 45+': (1093, 5.3), u'imdb staff': (1, 2.0), u'aged 30-44': (5023, 5.2), u'females': (803, 5.9), u'females aged 30-44': (290, 5.5), 'all votes': (15432, 5.5), u'females aged 45+': (87, 6.2), u'males': (12332, 5.5), u'males aged 18-29': (6047, 5.8), u'males under 18': (25, 6.8), u'aged 18-29': (6455, 5.8), u'males aged 30-44': (4690, 5.2), u'non-us users': (8165, 5.4), u'females aged 18-29': (355, 6.3), u'us users': (1428, 5.6), u'females under 18': (1, 1.0), u'aged under 18': (27, 6.5), u'top 1000 voters': (193, 4.6), u'males aged 45+': (995, 5.2)}","{1: 756, 2: 582, 3: 938, 4: 1536, 5: 3046, 6: 3399, 7: 2196, 8: 1103, 9: 417, 10: 1459}",6.0,"[u'death', u'prison', u'fight', u'desert', u'south-africa', u'female-stockinged-legs', u'nude-pantyhose', u'pantyhose', u'no-opening-credits', u'f-word', u'dystopia', u'escape-attempt', u'tough-girl', u'secretary', u'mixed-martial-arts', u'hand-to-hand-combat', u'martial-arts', u'conspiracy', u'prison-fight', u'brawl', u'fistfight', u'warrior', u'tough-guy', u'person-on-fire', u'hit-by-a-truck', u'shootout', u'car-chase', u'security-camera', u'surveillance', u'helicopter', u'armored-car', u'car-accident', u'car-crash', u'race-car', u'car-race', u'female-prisoner', u'catfight', u'fight-to-the-death', u'axe', u'sword', u'gore', u'blood-splatter', u'blood', u'violence', u'murder', u'slow-motion-scene', u'explosion', u'faked-death', u'bomb', u'warlord', u'filmed-killing', u'psychopath', u'slum', u'protest', u'gatling-gun', u'machine-gun', u'ak-47', u'pistol', u'female-convict', u'prison-escape', u'deception', u'infirmary', u'disfigurement', u'presumed-dead', u'masked-man', u'convict', u'prisoner', u'prison-guard', u'missile-launcher', u'rocket-launcher', u'missile', u'airplane', u'megacorporation', u'billionaire', u'exploding-building', u'exploding-body', u'exploding-truck', u'exploding-car', u'third-part', u'sequel']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'Frederick Koehler (Lists) and Robin Shou (14k) appear in all three films. Koehler is also rumored to reprise his role in the upcoming fourth film Death Race 4: Beyond Anarchy (2018).', u""The guard 'dogs' at the South African prison are hyenas."", u""York's plane at the beginning of the film appears to be a Grumman F9F Cougar, flown by the US Navy from 1953 to 1974."", u'The vehicle used to transport the death racers to the South African prison appears to be a Casspir APC\\IFV.']","[u'USA::20 January 2013', u'Netherlands::5 February 2013', u'Netherlands::6 February 2013 (Amsterdam) (theatrical)', u'Germany::21 February 2013', u'Hungary::21 February 2013', u'Finland::6 March 2013', u'Sweden::6 March 2013', u'France::26 March 2013', u'Japan::5 April 2013', u'Italy::10 April 2013']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2102509,producer,movie,Virtually Heroes,2013,,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'War']",82,6.9,63.0,[],"Two self-aware characters in a ""Call of Duty"" style video game struggle with their screwy, frustrating existence.",[u'en'],[u'us'],114000,6.9,"{u'aged 45+': (15, 4.8), u'aged 30-44': (26, 5.5), u'females': (10, 4.4), u'females aged 30-44': (3, 7.3), 'all votes': (63, 6.9), u'females aged 45+': (4, 6.0), u'males': (46, 5.4), u'males aged 18-29': (6, 5.0), u'aged 18-29': (9, 5.0), u'males aged 30-44': (23, 5.7), u'non-us users': (5, 3.6), u'females aged 18-29': (3, 5.7), u'us users': (44, 5.6), u'top 1000 voters': (4, 5.2), u'males aged 45+': (11, 4.6)}","{1: 5, 2: 2, 3: 2, 4: 4, 5: 9, 6: 3, 7: 8, 8: 6, 9: 5, 10: 19}",7.0,[u'two-word-title'],"[u""Roger Corman's cheapest film.""]","[u'The ""MONK"" character portrayed by Mark Hamill, is an homage to the Masters that trained his character in the S.F. Space Opera trilogy that made him famous.  The budget was so low on this production, that the Performers had to be their own Stunt Doubles.', u'Adjusted for inflation, this is the cheapest film Roger Corman has ever produced, including his infamous ""Little Shop of Horrors.""', u""General Tran's pig was not a trained pig, but a crew member's pet. It wouldn't stay put unless it was fed constantly, which made actress Katie Savoy burst out laughing in every take."", u'Mark Hamill agreed to take the part of the ""Monk"" when he saw G.J. Echternkamp\'s short ""Captain Fork.""', u""For the upgrade scenes, actor Robert Baker had to use a huge foam suit from Roger Corman's prop collection. He hated it."", u'Low-budget producer Roger Corman asked the writer and director to incorporate 30-40 minutes of stock footage. Ultimately, every shot of the lead actors would be inter-cut with stock footage.', u'Because of the low budget, the entire film had to be block shot. Most of the takes were done only twice.', u'For the scene where the villain is shot in the head, a fake blood-soaked pea was spat through a straw at the actor.']","[u'USA::18 January 2013 (Sundance Film Festival)', u'USA::19 April 2013 (RiverRun International Film Festival)']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1836926,producer,movie,Stealing Las Vegas,2012,1.78 : 1,"['Crime', 'Thriller']",87,4.0,337.0,[],"When a greedy Las Vegas casino owner threatens to lay off and take away pensions from his low-end staff of janitors, florists, and repairmen, they are forced to take matters into their own hands to even the odds.",[u'en'],[u'us'],,4.3,"{u'aged 45+': (84, 4.3), u'aged 30-44': (143, 3.7), u'females': (27, 5.2), u'females aged 30-44': (15, 5.6), 'all votes': (337, 4.0), u'females aged 45+': (8, 5.1), u'males': (268, 3.9), u'males aged 18-29': (56, 4.1), u'aged 18-29': (59, 4.1), u'males aged 30-44': (128, 3.6), u'non-us users': (165, 4.0), u'females aged 18-29': (3, 4.3), u'us users': (80, 3.8), u'top 1000 voters': (18, 4.3), u'males aged 45+': (75, 4.3)}","{1: 77, 2: 21, 3: 44, 4: 65, 5: 40, 6: 28, 7: 11, 8: 9, 9: 6, 10: 36}",4.0,,"[u""It's Not Wrong If You Do It Right""]",,"[u'USA::11 September 2012 (DVD premiere)', u'Japan::3 April 2015 (DVD premiere)']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
