,Unnamed: 0,movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget,arithmetic_mean,demographic,number_of_votes,median,keywords,taglines,trivia,release_dates,Action,Biography,Drama,War,Sport,Crime,Game-Show,Reality-TV,Thriller,Documentary,Music,Romance,Adventure,Short,Comedy,Horror,Animation,Family,Fantasy,Sci-Fi,Mystery,History,Western,Musical,Film-Noir,Talk-Show
0,0,5465970,producer,movie,Attrition,2017.0,,['Action'],,,,,"When a Thai girl with mythical powers goes missing, Axe and his old team unite in attempts to bring her back.",,[u'us'],,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]",,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6081674,producer,movie,Above the Law 2,,,['Action'],,,,[],"Plot unknown. A sequel to the 1988 action film, 'Above the Law'.",[u'en'],[u'us'],,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]",,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,5470222,producer,movie,Contract to Kill,2016.0,,"['Action', 'Adventure']",90.0,3.5,830.0,[],Harmon is a CIA/DEA enforcer investigating Arab terrorists captured in Mexico. With his team--seductive...,[u'en'],[u'ro'],10000000.0,3.8,"{u'aged 45+': (192, 3.6), u'aged 30-44': (299, 3.0), u'females': (44, 3.1), u'females aged 30-44': (21, 3.7), 'all votes': (830, 3.5), u'females aged 45+': (12, 2.7), u'males': (604, 3.3), u'aged 18-29': (124, 3.9), u'males under 18': (1, 10.0), u'males aged 18-29': (114, 3.9), u'males aged 30-44': (275, 3.0), u'non-us users': (336, 3.0), u'females aged 18-29': (9, 3.1), u'us users': (176, 3.5), u'aged under 18': (1, 10.0), u'top 1000 voters': (55, 3.3), u'males aged 45+': (176, 3.7)}","{1: 235, 2: 85, 3: 136, 4: 111, 5: 76, 6: 39, 7: 39, 8: 16, 9: 8, 10: 85}",3.0,"[u'shot-to-death', u'shootout', u'aikido', u'martial-arts', u'violence']","[u""They didn't just cross the border. They crossed the line."", u'War has no borders.']",,[u'USA::9 December 2016'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2268433,producer,movie,End of a Gun,2016.0,1.78 : 1,"['Action', 'Crime', 'Thriller']",87.0,4.0,880.0,[],A mall security guard -- and former federal agent -- crosses paths with a drug kingpin's enforcer after he saves a woman from danger.,[u'en'],[u'us'],7500000.0,4.3,"{u'aged 45+': (195, 3.9), u'aged 30-44': (330, 3.7), u'females': (42, 4.7), u'females aged 30-44': (17, 4.9), 'all votes': (880, 4.0), u'females aged 45+': (11, 5.1), u'males': (665, 3.9), u'aged 18-29': (140, 4.4), u'males under 18': (4, 7.8), u'males aged 18-29': (129, 4.4), u'males aged 30-44': (310, 3.7), u'non-us users': (428, 3.8), u'females aged 18-29': (10, 5.0), u'us users': (144, 4.0), u'aged under 18': (4, 7.8), u'top 1000 voters': (52, 4.3), u'males aged 45+': (182, 3.9)}","{1: 198, 2: 78, 3: 96, 4: 152, 5: 107, 6: 82, 7: 40, 8: 16, 9: 11, 10: 100}",4.0,"[u'violence', u'blood', u'aikido', u'martial-arts']",[u'Where justice prevails.'],,"[u'USA::23 September 2016', u'Netherlands::1 November 2016', u'Sweden::8 May 2017 (DVD premiere)']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4616250,producer,movie,The Perfect Weapon,2016.0,2.35 : 1,"['Action', 'Drama', 'Sci-Fi']",88.0,4.1,1077.0,[],"In the not so distant future, society is controlled by the powerful State and a dictator known as the Director...",[u'en'],"[u'us', u'es', u'se']",8000000.0,4.8,"{u'aged 45+': (203, 3.3), u'aged 30-44': (452, 4.2), u'females': (127, 7.7), u'females aged 30-44': (83, 8.8), 'all votes': (1077, 4.1), u'females aged 45+': (7, 4.1), u'males': (777, 3.8), u'males aged 18-29': (175, 5.3), u'males under 18': (3, 6.3), u'aged 18-29': (210, 5.5), u'males aged 30-44': (368, 3.4), u'non-us users': (497, 3.9), u'females aged 18-29': (33, 6.9), u'us users': (252, 5.0), u'females under 18': (1, 1.0), u'aged under 18': (4, 5.0), u'top 1000 voters': (55, 3.9), u'males aged 45+': (192, 3.2)}","{1: 258, 2: 124, 3: 122, 4: 124, 5: 75, 6: 44, 7: 24, 8: 8, 9: 4, 10: 294}",4.0,"[u'shot-to-death', u'kickboxing', u'future-noir', u'kendo', u'shootout', u'taekwondo', u'dystopia', u'violence', u'aikido', u'martial-arts', u'surprise-ending']","[u'They made him. They betrayed him. They are about to pay.', u'Everyone is a target.']",[u'Dolph Lundgren was first attached to play Condor but it fell through.'],"[u'Japan::3 August 2016 (DVD premiere)', u'Poland::26 August 2016 (DVD premiere)', u'Philippines::16 November 2016', u'USA::13 January 2017', u'UK::6 March 2017 (DVD premiere)', u'Sweden::15 May 2017 (DVD premiere)']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,3187378,producer,movie,The Asian Connection,2016.0,2.35 : 1,"['Action', 'Crime', 'Drama', 'Thriller']",90.0,3.4,1006.0,[],"Two American expatriates, Jack and Sam, unwittingly steal a drug lord's money when they rob a series...",[u'en'],"[u'th', u'us']",2000000.0,3.7,"{u'aged 45+': (197, 3.6), u'aged 30-44': (388, 3.2), u'females': (49, 3.0), u'females aged 30-44': (15, 2.9), 'all votes': (1006, 3.4), u'females aged 45+': (20, 2.7), u'males': (762, 3.4), u'aged 18-29': (173, 3.5), u'males under 18': (7, 3.0), u'males aged 18-29': (163, 3.5), u'males aged 30-44': (368, 3.2), u'non-us users': (467, 3.3), u'females aged 18-29': (8, 3.9), u'us users': (176, 3.6), u'aged under 18': (7, 3.0), u'top 1000 voters': (57, 3.8), u'males aged 45+': (175, 3.7)}","{1: 277, 2: 116, 3: 159, 4: 136, 5: 112, 6: 66, 7: 33, 8: 19, 9: 6, 10: 82}",3.0,"[u'drug-lord', u'bank', u'money', u'fight', u'police-officer-shot-in-the-chest', u'police-officer-shot', u'police-officer', u'necklace', u'thug', u'black-comedy', u'port', u'faked-death', u'photograph', u'loud-shirt', u'tai-chi', u'flashback', u'accidental-killing', u'bullet-wound', u'pharmacy', u'vodka', u'abandoned-car', u'stealing-a-car', u'pickup-truck', u'long-take', u'card-game', u'knocked-out-with-gun-butt', u'knocked-out', u'pistol-whip', u'revenge', u'double-cross', u'ambush', u'disarming-someone', u""character-repeating-someone-else's-dialogue"", u'character-says-i-love-you', u'repeated-line', u'passport', u'cigarette-smoking', u'cigar-smoking', u'premarital-sex', u'tattoo', u'bare-chested-male', u'montage', u'neo-noir', u'suspense', u'torture', u'unemployment', u'one-last-job', u'manipulation', u'tied-to-a-chair', u'cell-phone', u'gas-station', u'money-laundering', u'arms-dealer', u'danger', u'panic', u'paranoia', u'fear', u'bank-vault', u'security-guard', u'criminal', u'female-thief', u'heist', u'thief', u'robbery', u'robber', u'bank-robbery', u'bank-robber', u'organized-crime', u'gangster', u'mob-boss', u'crime-boss', u'mansion', u'swimming-pool', u'waitress', u'loss-of-boyfriend', u'loss-of-friend', u'death-of-boyfriend', u'interracial-relationship', u'boyfriend-girlfriend-relationship', u'f-word', u'friendship', u'bag-of-money', u'englishman-abroad', u'cockney-accent', u'parkour', u'police-officer-killed', u'police-car', u'police', u'border-crossing', u'temple', u'american-abroad', u'bangkok-thailand', u'cambodia', u'betrayal', u'deception', u'bare-breasts', u'topless-female-nudity', u'attempted-murder', u'assassination-attempt', u'home-invasion', u'body-landing-on-a-car', u'thrown-through-a-window', u'hotel', u'apartment', u'falling-from-height', u'thrown-from-height', u'helmet', u'motorcycle', u'bar', u'restaurant', u'beach', u'voice-over-narration', u'island', u'boat', u'final-showdown', u'showdown', u'scene-before-opening-credits', u'product-placement', u'truck', u'severed-hand', u'hitman', u'assassin', u'bodyguard', u'henchman', u'exotic-dancer', u'fight-to-the-death', u'opening-action-scene', u'knife', u'machete', u'threatened-with-a-knife', u'knife-fight', u'goatee', u'beard', u'sunglasses', u'bandanna', u'aerial-shot', u'shotgun', u'machine-gun', u'submachine-gun', u'desert-eagle', u'semiautomatic-pistol', u'glock', u'pistol', u'villain-played-by-lead-actor', u'warrior', u'anti-hero', u'slow-motion-scene', u'dual-wield', u'stylized-violence', u'police-chase', u'car-truck-chase', u'car-motorcycle-chase', u'car-chase', u'foot-chase', u'chase', u'explosion', u'escape', u'corpse', u'kickboxer', u'held-at-gunpoint', u'cage-fighter', u'fighting', u'head-butt', u'beaten-to-death', u'beating', u'kicked-in-the-stomach', u'kicked-in-the-face', u'punched-in-the-chest', u'punched-in-the-face', u'hand-to-hand-combat', u'mixed-martial-arts', u'hostage', u'brawl', u'fistfight', u'street-shootout', u'police-shootout', u'gunfight', u'blood-on-shirt', u'blood-splatter', u'blood', u'murder', u'death', u'stabbed-in-the-chest', u'throat-slitting', u'stabbed-in-the-throat', u'shot-in-the-leg', u'shot-to-death', u'shot-in-the-shoulder', u'shot-in-the-back', u'shot-in-the-chest', u'shot-in-the-forehead', u'shot-in-the-head', u'shootout', u'violence', u'martial-arts', u'aikido', u'kickboxing', u'death-of-friend', u'independent-film', u'surprise-ending']",[u'The beast is in the East.'],"[u'Steven Seagal and Michael Jai White previously worked together in the 2001 action film, Exit Wounds (2001).']","[u'USA::13 May 2016', u'Kuwait::9 June 2016', u'UK::4 July 2016 (DVD premiere)', u'Japan::1 October 2016 (Tokyo)', u'Netherlands::14 March 2017 (Blu-ray and DVD premiere)', u'Hungary::16 March 2017 (DVD premiere)']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,4060866,producer,movie,Code of Honor,2016.0,1.78 : 1,"['Action', 'Crime', 'Thriller']",106.0,4.3,1442.0,[],"Colonel Robert Sikes is on a mission to rid his city of crime. As a stealthy, one-man assault team, he will take on street gangs...",[u'en'],[u'us'],8000000.0,4.6,"{u'aged 45+': (315, 4.4), u'aged 30-44': (525, 4.1), u'females': (66, 4.5), u'females aged 30-44': (20, 4.6), 'all votes': (1442, 4.3), u'females aged 45+': (24, 4.3), u'males': (1076, 4.2), u'aged 18-29': (244, 4.2), u'males under 18': (5, 3.7), u'males aged 18-29': (224, 4.2), u'males aged 30-44': (498, 4.1), u'non-us users': (633, 4.1), u'females aged 18-29': (18, 4.5), u'us users': (261, 4.2), u'aged under 18': (5, 3.7), u'top 1000 voters': (68, 4.2), u'males aged 45+': (286, 4.4)}","{1: 220, 2: 120, 3: 158, 4: 243, 5: 247, 6: 171, 7: 104, 8: 32, 9: 15, 10: 132}",4.0,"[u'topless-female-nudity', u'bare-breasts', u'stripper', u'mission', u'politician', u'colonel', u'justice', u'city', u'gang', u'vigilantism', u'police', u'biker-gang', u'biker', u'motorcycle-gang', u'motorcycle', u'one-percenter', u'falling-from-height', u'escape-attempt', u'parking-garage', u'sociopath', u'evacuation', u'armory', u'terrorism', u'social-commentary', u'american-flag', u'protege', u'mob-of-reporters', u'reporter', u'lawyer', u'cocaine-snorting', u'aerial-shot', u'fire', u'oral-sex', u'blow-job', u'fugitive', u'offscreen-killing', u'on-the-run', u'neoconservatism', u'camera-phone', u'tape-recorder', u'ambiguous-ending', u'disguise', u'moral-dilemma', u'f-word', u'tragic-past', u'dark-past', u'mysterious-man', u'flashback', u'cgi', u'face-slap', u'woman-beater', u'man-slaps-a-woman', u'shot-through-a-window', u'innocent-person-killed', u'ambush', u'throat-slitting', u'neck-breaking', u'rappelling', u'interrogation', u'torture', u'ambulance', u'fire-truck', u'morgue', u'corpse', u'coroner', u'crime-scene', u'investigation', u'kicking-in-a-door', u'wearing-a-sound-wire', u'gearing-up', u'montage', u'surveillance-footage', u'surveillance', u'abandoned-building', u'school-bus', u'photograph', u'baseball-glove', u'baseball-cap', u'beard', u'sunglasses', u'flare', u'apartment', u'motel', u'hotel', u'swat-team', u'badge', u'ghetto', u'arrest', u'handcuffs', u'police-station', u'police-captain', u'police-detective', u'detective', u'female-cop', u'policewoman', u'impostor', u'police-officer', u'police-car', u'jumping-through-a-window', u'flashlight', u'cigar-smoking', u'impalement', u'fbi', u'glock', u'bulletproof-vest', u'shotgun', u'sniper-rifle', u'helicopter', u'assault-rifle', u'machine-gun', u'uzi', u'silencer', u'pistol', u'rooftop', u'attempted-murder', u'opening-action-scene', u'one-against-many', u'journalist', u'journalism', u'watching-tv', u'media-coverage', u'news-report', u'neo-noir', u'newscaster', u'news-reporter', u'governor', u'city-hall', u'loss-of-daughter', u'death-of-daughter', u'female-senator', u'senator', u'corruption', u'infidelity', u'extramarital-affair', u'woman-on-top', u'slow-motion-scene', u'fast-motion-scene', u'home-invasion', u'threatened-with-a-knife', u'knife-in-chest', u'knife-throwing', u'dual-wield', u'alley', u'man-with-a-ponytail', u'bar', u'social-decay', u'urban-decay', u'urban-setting', u'dancing', u'henchman', u'thug', u'money', u'switchblade', u'tattoo', u'disarming-someone', u'press-conference', u'limousine', u'car-phone', u'prostitute', u'pimp', u'cameraman', u'suitcase-full-of-money', u'organized-crime', u'drug-addict', u'mob-boss', u'crime-boss', u'race-against-time', u'detonator', u'c4-explosives', u'suitcase-bomb', u'bomb', u'explosives-expert', u'exploding-building', u'exploding-car', u'drugs', u'foot-chase', u'chase', u'warrior', u'tough-guy', u'one-man-army', u'anti-hero', u'action-hero', u'rampage', u'post-traumatic-stress-disorder', u'murder-spree', u'killing-spree', u'body-count', u'massacre', u'drug-dealer', u'blood-on-shirt', u'covered-in-blood', u'blood-on-camera-lens', u'gore', u'blood-splatter', u'blood', u'redemption', u'revenge', u'widower', u'single-mother', u'single-parent', u'mother-son-relationship', u'woman-in-jeopardy', u'paranoia', u'danger', u'panic', u'fear', u'street-shootout', u'police-shootout', u'gunfight', u'shootout', u'fight-to-the-death', u'punched-in-the-face', u'aikido', u'brawl', u'fight', u'fistfight', u'final-showdown', u'showdown', u'written-by-director', u'false-accusation', u'cell-phone', u'pay-phone', u'betrayal', u'double-cross', u'deception', u'set-up', u'escape', u'rescue', u'held-at-gunpoint', u'hostage', u'mercilessness', u'brutality', u'mentor', u'vigilante-justice', u'violence', u'death', u'murder', u'stabbed-to-death', u'stabbed-in-the-leg', u'stabbed-in-the-back', u'stabbed-in-the-chest', u'stabbed-in-the-shoulder', u'stabbed-in-the-neck', u'stabbed-in-the-throat', u'shot-to-death', u'shot-in-the-foot', u'shot-in-the-leg', u'shot-in-the-crotch', u'shot-in-the-back', u'shot-in-the-chest', u'shot-in-the-hand', u'shot-in-the-arm', u'shot-in-the-shoulder', u'shot-in-the-neck', u'shot-in-the-throat', u'shot-in-the-eye', u'shot-in-the-face', u'shot-in-the-forehead', u'shot-in-the-head', u'bloody-violence', u'knife-fight', u'nightclub', u'mayor', u'gun', u'knife', u'gangster', u'vigilante', u'ex-special-forces', u'fbi-agent', u'explosion', u'strip-club', u'criminal', u'shooting', u'sniper', u'independent-film', u'surprise-ending']",[u'There is no honor in revenge.'],"[u""Steven Seagal's character does not speak until 48 minutes into the film."", u""Code of Honor was filmed entirely in the state of Utah.  This was Steven Seagal's first time filming in Salt Lake City, Utah.""]","[u'USA::6 May 2016', u'UK::6 June 2016 (DVD premiere)', u'Netherlands::21 June 2016 (DVD premiere)', u'Germany::11 August 2016 (DVD and Blu-ray premiere)', u'Japan::20 August 2016', u'Sweden::21 November 2016 (DVD premiere)']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,5344794,producer,movie,Sniper: Special Ops,2016.0,,"['Action', 'Drama', 'War']",84.0,3.3,1706.0,[],"A Special Ops Military Force, led by Sergeant Vic Mosby (Tim Abell) with an expert sniper Sergeant Jake...",[u'en'],[u'us'],8000000.0,3.5,"{u'aged 45+': (324, 3.5), u'aged 30-44': (572, 3.2), u'females': (80, 4.4), u'females aged 30-44': (30, 5.2), 'all votes': (1706, 3.3), u'females aged 45+': (24, 4.6), u'males': (1228, 3.2), u'aged 18-29': (308, 3.1), u'males under 18': (8, 3.2), u'males aged 18-29': (284, 3.1), u'males aged 30-44': (534, 3.1), u'non-us users': (692, 3.0), u'females aged 18-29': (18, 2.7), u'us users': (264, 3.7), u'aged under 18': (8, 3.2), u'top 1000 voters': (66, 3.6), u'males aged 45+': (294, 3.4)}","{1: 513, 2: 246, 3: 239, 4: 218, 5: 174, 6: 91, 7: 55, 8: 34, 9: 17, 10: 119}",3.0,"[u'shooting', u'explosion', u'violence']","[u""He's watching your six.""]",[u'The movie was filmed in 20 days.'],"[u'USA::3 May 2016', u'Germany::8 September 2016 (DVD and Blu-ray premiere)', u'Japan::3 December 2016']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,4949290,producer,movie,Cartels,2016.0,,"['Action', 'Crime', 'Mystery', 'Thriller']",95.0,4.0,685.0,[],An elite team of DEA agents are assigned to protect a dangerous drug lord and take refuge in a luxury hotel while they await extraction...,[u'en'],"[u'us', u'ro']",7000000.0,4.4,"{u'aged 45+': (137, 3.9), u'aged 30-44': (255, 3.6), u'females': (34, 3.7), u'females aged 30-44': (9, 4.1), 'all votes': (685, 4.0), u'females aged 45+': (5, 3.4), u'males': (510, 3.9), u'aged 18-29': (122, 4.2), u'males under 18': (4, 8.0), u'males aged 18-29': (107, 4.3), u'males aged 30-44': (246, 3.6), u'non-us users': (316, 3.8), u'females aged 18-29': (14, 3.3), u'us users': (110, 3.5), u'aged under 18': (4, 8.0), u'top 1000 voters': (49, 4.5), u'males aged 45+': (130, 3.9)}","{1: 155, 2: 63, 3: 71, 4: 109, 5: 81, 6: 56, 7: 30, 8: 21, 9: 7, 10: 92}",4.0,,"[u""It looks like we don't have any Taglines for this title yet.""]",,"[u'South Africa::30 April 2016 (TV premiere)', u'Kuwait::19 May 2016', u'Italy::20 October 2016 (video premiere)', u'Sweden::1 December 2016', u'UK::23 January 2017 (DVD premiere)', u'USA::7 July 2017']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,9,3503840,producer,movie,Absolution,2015.0,,"['Action', 'Adventure', 'Crime', 'Thriller']",96.0,4.5,2422.0,[],When a contract killer (Steven Seagal) encounters a girl on the run from a mob boss (Vinnie Jones) with powerful political ties...,[u'en'],"[u'us', u'ro', u'ua']",14000000.0,4.9,"{u'aged 45+': (425, 4.6), u'aged 30-44': (929, 4.3), u'females': (138, 5.0), u'females aged 30-44': (51, 4.7), 'all votes': (2422, 4.5), u'females aged 45+': (37, 5.0), u'males': (1880, 4.4), u'aged 18-29': (583, 4.6), u'males under 18': (2, 7.0), u'males aged 18-29': (532, 4.6), u'males aged 30-44': (868, 4.3), u'non-us users': (1149, 4.3), u'females aged 18-29': (46, 5.5), u'us users': (354, 4.6), u'aged under 18': (2, 7.0), u'top 1000 voters': (83, 4.3), u'males aged 45+': (385, 4.6)}","{1: 346, 2: 155, 3: 241, 4: 373, 5: 418, 6: 329, 7: 177, 8: 93, 9: 46, 10: 244}",5.0,"[u'mob-boss', u'on-the-run', u'drug-dealer', u'human-trafficking', u'mission', u'contract-killer', u'urban-setting', u'social-decay', u'rogue-agent', u'secret-government-organization', u'moral-dilemma', u'corrupt-politician', u'honor', u'bruise', u'limousine', u'money', u'hit-with-a-chair', u'screaming', u'self-sacrifice', u'climbing-through-a-window', u'scar', u'tattoo', u'reverse-footage', u'massage-parlor', u'van', u'wine', u'opening-action-scene', u'swimming-pool', u'eavesdropping', u'racial-slur', u'flashback', u'doctor', u'hospital', u'ambulance', u'passport', u'watching-tv', u'pistol-whip', u'paranoia', u'photograph', u'survival', u'assassination-attempt', u'assassination', u'fear', u'panic', u'danger', u'drunkeness', u'garrote', u'strangulation', u'neck-breaking', u'throat-slitting', u'bodyguard', u'mansion', u'drug-addict', u'race-against-time', u'tied-up', u'cocaine-snorting', u'home-invasion', u'showdown', u'impalement', u'falling-from-height', u'falling-down-stairs', u'cigar-smoking', u'cigarette-smoking', u'interrogation', u'torture', u'neo-noir', u'englishman-abroad', u'cockney-accent', u'torture-chamber', u'safe-house', u'abandoned-building', u'hotel', u'told-in-flashback', u'nonlinear-timeline', u'voice-over-narration', u'disarming-someone', u'gore', u'sex-trade', u'slave-trade', u'sex-slave', u'stripper', u'prostitute', u'nightclub', u'restaurant', u'bar', u'karate-chop', u'broken-arm', u'bar-fight', u'sunglasses', u'beard', u'cover-up', u'conspiracy', u'gangster', u'evil-man', u'sadism', u'sadist', u'machismo', u'f-word', u'camera-phone', u'cell-phone', u'notebook', u'invisible-ink', u'revenge', u'redemption', u'eastern-europe', u'odessa-ukraine', u'american-abroad', u'manipulation', u'new-york-city', u'brooklyn-bridge', u'new-york-city-skyline', u'time-lapse-photography', u'corpse', u'psychopath', u'blood-splatter', u'one-word-title', u'what-happened-to-epilogue', u'barefoot', u'snuff-film', u'security-camera', u'surveillance', u'camcorder', u'spy', u'secret-agent', u'espionage', u'binoculars', u'russian', u'bilingualism', u'organized-crime', u'henchman', u'thug', u'corrupt-official', u'corruption', u'political-corruption', u'embassy', u'ambassador', u'death-of-sister', u'interracial-friendship', u'friendship', u'hitman', u'hired-killer', u'assassin', u'mercenary', u'tragic-hero', u'haunted-by-the-past', u'tragic-past', u'dark-past', u'dark-hero', u'heroism', u'two-man-army', u'warrior', u'tough-guy', u'one-man-army', u'anti-hero', u'action-hero', u'one-against-many', u'villainess', u'black-bra-and-panties', u'woman-in-bra-and-panties', u'woman-kills-a-woman', u'woman-beater', u'damsel-in-distress', u'escape', u'rescue', u'held-at-gunpoint', u'hostage', u'kidnapping', u'brutality', u'partner', u'death', u'murder', u'double-cross', u'betrayal', u'deception', u'hit-by-a-car', u'body-landing-on-a-car', u'fire', u'crashing-through-a-window', u'ambush', u'booby-trap', u'bomb', u'timebomb', u'person-on-fire', u'burned-to-death', u'burned-alive', u'explosion', u'exploding-car', u'knife-fight', u'foot-chase', u'enforcer', u'balisong', u'knife-throwing', u'knife', u'threatened-with-a-knife', u'knife-in-thigh', u'severed-finger', u'stabbed-to-death', u'stabbed-in-the-leg', u'stabbed-in-the-back', u'stabbed-in-the-chest', u'stabbed-in-the-arm', u'stabbed-in-the-hand', u'stabbed-in-the-neck', u'stabbed-in-the-throat', u'shot-to-death', u'shot-in-the-leg', u'shot-in-the-throat', u'shot-in-the-arm', u'shot-in-the-back', u'shot-in-the-chest', u'shot-in-the-forehead', u'shot-in-the-head', u'shotgun', u'silencer', u'pistol', u'gunfight', u'shootout', u'stealing-a-car', u'car-chase', u'freeze-frame', u'slow-motion-scene', u'stylized-violence', u'karate', u'kung-fu', u'aikido', u'hand-to-hand-combat', u'mixed-martial-arts', u'chase', u'brawl', u'fight', u'fistfight', u'beaten-to-death', u'beating', u'head-butt', u'kicked-in-the-stomach', u'kicked-in-the-face', u'punched-in-the-face', u'punched-in-the-chest', u'crime-boss', u'taekwondo', u'blood', u'violence', u'martial-arts', u'death-of-friend', u'independent-film', u'title-spoken-by-character', u'surprise-ending']",[u'Revenge Has Its Own Set Of Rules.'],"[u'The film is meant to be a sequel to A Good Man (2014), which was a sequel to Force Of Execution (2013), in which Steven Seagal also portrays the character of John Alexander.']","[u'Japan::21 February 2015 (theatrical release)', u'Kuwait::26 March 2015', u'UK::18 May 2015 (DVD premiere)', u'Germany::15 June 2015 (DVD & Blu-ray premiere)', u'USA::15 May 2016']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
