,Unnamed: 0,movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget,arithmetic_mean,demographic,number_of_votes,median,keywords,taglines,trivia,release_dates,Action,Biography,Drama,War,Sport,Crime,Game-Show,Reality-TV,Thriller,Documentary,Music,Romance,Adventure,Short,Comedy,Horror,Animation,Family,Fantasy,Sci-Fi,Mystery,History,Western,Musical,Film-Noir,Talk-Show
0,0,1462764,producer,movie,Untitled Indiana Jones Project,2020.0,2.35 : 1,"['Action', 'Adventure', 'Mystery']",106.0,0.0,119241.0,[u'Color'],The plot is unknown at this time.,[u'en'],[u'us'],0.0,,,,,"[u'sequel', u'indiana-jones', u'fifth-part', u'character-name-in-title']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'John Williams was announced to return to compose the fifth film.', u'Rumors of Chris Pratt and even Bradley Cooper possibly assuming the titular role of Indiana Jones were laid to rest as of October 27th, 2015 with confirmation from the studios attached that Harrison Ford would be reprising the role of Indy.', u'Harrison Ford said on a popular UK chat show that he would reprise his role as Indiana Jones again in a ""New York minute.""', u'John Rhys-Davies has expressed interest in reprising his role as Sallah from Raiders of the Lost Ark (1981) and Indiana Jones and the Last Crusade (1989).', u'This will be the first Indiana Jones film without the involvement of creator George Lucas.', u'With this film now being released in 2020. Harrison Ford plays Indiana Jones for 39 years since the first film, Raiders of the Lost Ark (1981) making him the second actor to play a film character in a film series spanning 39 years. The first actor is Sylvester Stallone playing Rocky Balboa from Rocky (1976) to Creed (2015).', u'This is the 30th theatrical film directed by Steven Spielberg.', u'According to Variety in 2014, an article penned by Peter Caranicas, deputy editor at the Hollywood trade magazine, so misinformation is not something to be expected within the article\'s content. About midway through the article, Caranicas recaps some of the projects Janusz Kaminski worked as a cinematographer on. Then he caps the paragraph with the following line, ""His next project is the upcoming fifth Indiana Jones movie."" Kaminski is a long time collaborator for Steven Spielberg as his cinematographer. If Kaminski is in fact already planning to serve as cinematographer on Indiana Jones 5 (2020) then work on the film must be further along than any of us realize. Indiana Jones 5 (2020) rumors have been swirling around for several years but this was the first mention about the project\'s future.', u""In a Entertainment Weekly interview with screenwriter David Koepp, he confirmed that the character Henry 'Mutt' Walton Jones III which was played by Shia LaBeouf & introduced in Indiana Jones and the Kingdom of the Crystal Skull (2008) is not going to be involved in the film. While Koepp didn't mention why the character & LaBeouf wouldn't be involved it could be assumed part of the reason for this decision is because of the negative reception both the character of Mutt & Shia LaBeouf received from critics & audiences."", u'Set to be released 11 years after the release of Kingdom of the Crystal Skull when Harrison Ford was 65 years old.', u'Will coincide with the 30th Anniversary of Indiana Jones and the Last Crusade (1989).', u""Comedian John Mulaney (in his album new in town) he talks about what he would do if he saw hitler and says if he sees someone in the outfit he wouldn't kill them because he doesn't want to ruin Indiana Jones 5 (2020)."", u'The film, which is the fifth and final instalment in the Indiana Jones film series,', u""Steven Spielberg has stated Indiana Jones won't be killed off."", u'David Koepp finished the script in September 5, 2017, he announced that Mutt Williams was written out from the story, thus Shia LeBouf will not appear, news that fans received with praise.']","[u'Brazil::9 July 2020', u'Russia::9 July 2020', u'UK::10 July 2020', u'Lithuania::10 July 2020', u'Turkey::10 July 2020', u'USA::10 July 2020', u'Germany::18 July 2020']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,2283336,producer,movie,Untitled 'Men In Black' Spin-Off,2019.0,,"['Action', 'Comedy', 'Sci-Fi']",106.0,0.0,119241.0,[u'Color'],Plot is unknown.,,[u'us'],0.0,,,,,"[u'aircel-comics', u'm.i.b.', u'malibu-comics', u'superhero', u'based-on-comic-book', u'marvel-comics', u'crossover']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'Will Smith has stated that he will not return for this film.', u""It's said to be a 21 Jump Street/Men in Black crossover movie."", u'It has been confirmed that the Jump Street sequels seen in the credits of 22 Jump Street (2014) are canon and will be explained in 23 Jump Street.', u'It was announced that 22 Jump Street (2014) writer Oren Uziel will be the one to write the film.', u'This will be the first Jump Street movie not being directed or written by Phil Lord and Christopher Miller.', u'This will be the first Jump Street film not sporting ""Jump Street"" in the title in hopes to expand the cinematic universe.', u'Sony confirmed that this will be a Jump Street/Men in Black crossover.', u""Rumored to be a 'Jump Street' and 'Men In Black' cross-over.""]",[u'USA::17 May 2019'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4701182,producer,movie,Bumblebee,2018.0,,"['Action', 'Adventure', 'Sci-Fi']",106.0,0.0,119241.0,,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.",,[u'us'],0.0,,,,,"[u'spin-off', u'based-on-toy', u'alien', u'robot', u'sixth-part', u'sequel']","[u""It looks like we don't have any Taglines for this title yet.""]","[u""This won't be a sequel but a spin-off based on the popular Autobot Bumblebee, as well as a prequel tale to the Transformers films."", u'This film is set in 1987. The 1980s era was when the Transformers saga was born.', u'Optimus Prime and Ultra-Magnus are said to be in the film. The character of Strongarm might appear.', u""Bumblebee's alternate mode in this feature is a Volkswagen Beetle, his original mode in The Transformers (1984)."", u""This is director Travis Knight's first live-action film."", u'Is rumoured to explain how Bumblebee lost his voice box. (Fight with Megatron as mentioned in the 1st Transformers live action film)', u'John Cena is the second wrestler to appear in a ""Transformers"" feature, after Dwayne Johnson (who played Cliffjumper in Transformers Prime (2010)). Cena is also the third wrestler to appear in a Michael Bay feature, after Johnson (who was in Bay\'s film Pain & Gain (2013)) and Stephen Farrelly (who played Rocksteady in Teenage Mutant Ninja Turtles: Out of the Shadows (2016))', u'This is the first Transformers film not to be directed by Michael Bay, however he will stay on board as producer.', u'A street sign reads ""Bay View."" This is a reference to producer Michael Bay.', u'A cinema hall holds a poster for Gremlins (1984). This film was produced by ""Transformers"" producer Steven Spielberg and starred ""Transformers"" veteran voice actors Peter Cullen and Frank Welker.', u'Peter Cullen has confirmed that he will be return as the voice of Optimus Prime in the film.', u'Hailee Steinfeld is the latest in the line of actors/actresses who have worked with Joel & Ethan Coen to have went on to have a role in a live-action Transformers film. Others are John Turturro, John Goodman, Frances McDormand, Steve Buscemi, and John Malkovich.', u'Stephen Schneider and Tom Virtue who have also been in the Transformers film series have all been on the TV series ""You\'re the Worst"".', u'In an interview Hailee Steinfeld revealed that her ""Edge of Steventeen"" writer/director/producer Kelly Fremon Craig did a rewrite of the script.', u'The first Transformers film since 1986 that is not directed by Michael Bay.']","[u'Germany::20 December 2018', u'USA::21 December 2018', u'Sweden::4 January 2019']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,4881806,producer,movie,Jurassic World: Fallen Kingdom,2018.0,1.85 : 1,"['Action', 'Adventure', 'Sci-Fi']",106.0,0.0,119241.0,[u'Color'],Plot unknown.,[u'en'],"[u'us', u'es']",0.0,,,,,"[u'fifth-part', u'sequel', u'dinosaur']",[u'Life finds a way.'],"[u'Rumors speculate that Sam Neill, Laura Dern might return for the sequel as their characters Alan Grant and Ellie Sattler respectively.', u'On 13th August 2015 it was announced that the Jurassic World (2015) sequel will be released in the UK before being released in the US. Release date is set to be June 7th 2018.', u'The Jurassic World: Fallen Kingdom (2018) will be released 25 years after Jurassic Park (1993), 21 years after The Lost World: Jurassic Park (1997), 17 years after Jurassic Park III (2001), and three years after Jurassic World (2015).', u'This is the fifth film in the Jurassic Park (1993) franchise and the second film in the Jurassic World (2015) trilogy.', u'The film\'s tagline, ""Life Finds a Way"" is a quote said by Ian Malcolm from Jurassic Park (1993).', u'Nina Gold is the casting director for this sequel. Filming will take place in the United Kingdom and Hawaii.', u'Reunites Spider-Man 3 (2007) supporting actors James Cromwell and Bryce Dallas Howard.', u'Rafe Spall is the second Life of Pi (2012) actor to star in a Jurassic park movie. Irrfan Khan was in Jurassic World.', u'Geraldine Chaplin appeared in the film Chaplin (1992) for director Richard Attenborough, who appeared in the original Jurassic Park (1993).', u'B.D Wong and Jeff Goldblum previously starred in Jurassic Park together as their characters Henry Wu and Ian Malcolm in a scene together.', u'Claire and Owen will officially return for the sequel', u'It is currently being speculated that a volcano will play a role in the narrative, this is seamingly confirmed due to producer frank marshall stating on twitter that he is working on two films that involve volcanoes.', u""Early rumors claimed that Dr Wu and Hoskin's plans to weaponize dinosaurs would take center stage in the sequel, which was said to be called Jurassic War. However, most of these rumors have been shot down by people involved in the project""]","[u'France::6 June 2018', u'Australia::7 June 2018', u'Germany::7 June 2018', u'Hungary::7 June 2018', u'Netherlands::7 June 2018', u'Russia::7 June 2018', u'Ukraine::7 June 2018', u'Bulgaria::8 June 2018', u'UK::8 June 2018', u'Norway::8 June 2018', u'Sweden::8 June 2018', u'Turkey::8 June 2018', u'Argentina::21 June 2018', u'Hong Kong::21 June 2018', u'USA::22 June 2018']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1677720,producer,movie,Ready Player One,2018.0,2.35 : 1,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",106.0,0.0,119241.0,[u'Color'],"When the creator of a virtual reality world called the OASIS dies, he releases a video in which he challenges all OASIS users to find his Easter Egg, which will give the finder his fortune. Wade Watts finds the first clue and starts a race for the Egg.",[u'en'],[u'us'],0.0,,,,,"[u'virtual-reality', u'player', u'outcast', u'screenplay-adapted-by-author', u'pac-man', u'three-word-title', u'based-on-novel', u'number-in-title', u'based-on-young-adult-novel']","[u""It looks like we don't have any Taglines for this title yet.""]","[u'Christopher Nolan, Robert Zemeckis, Matthew Vaughn, Peter Jackson, and Edgar Wright were all considered to direct this film.', u'As of March 25th, Steven Spielberg is attached to direct this film. Spielberg himself is actually mentioned in the original novel by Ernest Cline that this film is based on. Spielberg has stated that he will be removing references of his movies.', u'On August 11, 2015, a rumour began circulating that Steven Spielberg was ""courting"" Gene Wilder to play OASIS creator James Halliday, making Ready Player One the first film Wilder has done since 1999. However, Wilder guest starred as \'Elmer\' on Yo Gabba Gabba.', u'Before his untimely death, Gene Wilder was approached by Steven Spielberg, who wanted him to appear in the film, (as well as ""The BFG""). Wilder respectfully declined.', u'Michael Keaton was considered for J.D Halliday.', u""The music score was originally going to be composed by longtime Steven Spielberg collaborator John Williams, however, due to scheduling conflicts working on another Spielberg film The Post (2017), he left and was replaced by Alan Silvestri. This is only the third film where Spielberg isn't working with Williams."", u""Ready Player One (2018) depicts characters from pop culture staples from the '80s & '90s, such as The Iron Giant (1999), Tron (1982), Akira (1988), Lord of the Rings (2001-2003), Back to the Future (1985), A Nightmare on Elm Street (1984) Lara Croft (1996), and Duke Nukem (1991) just to name some of the characters in the film."", u'Ready Player One (2018) was scheduled to be released on December 15, 2017. The date was pushed back until March 30, 2018 to avoid competition with Star Wars: The Last Jedi (2017).', u'Elle Fanning and Lola Kirke were considered for the role of Art3mis before Olivia Cooke was cast.', u'The teaser trailer contains an orchestral version of the song ""Pure Imagination"" from the film \'Willy Wonka and the Chocolate Factory\'. It also contains a segment of the song ""Tom Sawyer"" by the band Rush.', u'Ready Player One (2018) marks the first Steven Spielberg-directed film project for Warner Bros. Pictures since A.I. Artificial Intelligence (2001) in 2001. Prior to the Ready Player one, he only produced a handful of films - particularly Letters from Iwo Jima (2006) and Hereafter (2010) for Warner Bros.', u""Steven Spielberg's first science fiction film since War of the Worlds (2005)."", u'Nick Robinson, Nat Wolff, and Dalton Vaughn were considered for the role of Wade Watts/Parzival before Tye Sheridan was cast.', u""The character of F'Nale Zandor, was not in the book and was written just for the movie."", u'The film also marks the first Warner Bros. Pictures production since Sweeney Todd: The Demon Barber of Fleet Street (2007) to be co-produced by Dreamworks Pictures. in the case of Sweeney Todd: The Demon Barber of Fleet Street (2007), it was co-producted with Warner Bros. Pictures, Village Roadshow Pictures and Amblin Entertainment.', u'Some controversy surrounded the film when Tye Sheridan was cast due to the fact that casting website CastIt.Com had advertised that this film was looking for unknown talent for the lead role. Several people sent in their audition videos in hopes of being cast as the casting call said ""unknown talent"". When news of Tye Sheridan\'s casting broke out less than a day after the casting campaign on CastIt had ended, the reaction of people who auditioned ranged from understanding that they likely wouldn\'t be picked as they were ""unknown"" to outraged by the fact that they had been lied to.', u'The third collaboration of Mark Rylance and Steven Spielberg with Bridge of Spies (2015) and The BFG (2016).', u'This will be the first time Steven Spielberg and Simon Pegg have worked together since The Adventures of Tintin (2011).', u""Vin Diesel will be reprising the voice of the Iron Giant, 19 years after first voicing the character in Brad Bird's 1999 animated film 'The Iron Giant'."", u'Based on Sci-fi Novel by Ernest Cline', u""Mark Rylance's character is named as James Donovan. This is the second Steven Spielberg and Mark Rylance movie to have a character's name, James Donovan. The first one is Bridge of Spies (2015), played by Tom Hanks."", u'A passage from the novel Ready Player One describes Wade\'s obsession and ""research"" of Anorak\'s Almanac, Halliday\'s journal chock full of \'80s references to books, movies, TV shows, music, and video games. One of the filmographies that Wade studied from the Almanac was Steven Spielberg\'s, who just so happens to be directing this film adaptation.', u""A worldwide casting call for the lead role of 'Wade Watts', was advertised in late 2014 to early 2015, on major casting and media websites in search for unknown talent."", u'Both Tye Sheridan and T.J. Miller starred in an X-Men movie. Tye was in X-Men: Apocalypse (2016) and Miller was in Deadpool (2016).', u'Although Steven Spielberg has stated that many references to himself that are seen in the book have been removed from the film, he has confirmed that Wade will still have his custom DeLorean, which is a prominent element in the Spielberg-produced Back to the Future films.', u'During a panel discussion at San Diego Comic-Con, Steven Speilberg confirmed that the titular character from the film ""The Iron Giant (1999)"" will be a major part of this film.']","[u'France::28 March 2018', u'Argentina::29 March 2018', u'Australia::29 March 2018', u'Czech Republic::29 March 2018', u'Denmark::29 March 2018', u'Greece::29 March 2018', u'Hong Kong::29 March 2018', u'Hungary::29 March 2018', u'Netherlands::29 March 2018', u'New Zealand::29 March 2018', u'Russia::29 March 2018', u'Bulgaria::30 March 2018', u'UK::30 March 2018', u'Ireland::30 March 2018', u'Romania::30 March 2018', u'Sweden::30 March 2018', u'USA::30 March 2018', u'Brazil::5 April 2018', u'Germany::5 April 2018']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,6294822,producer,movie,The Post,2017.0,2.35 : 1,"['Biography', 'Drama', 'History', 'Thriller']",106.0,0.0,119241.0,[u'Color'],A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.,[u'en'],[u'us'],0.0,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]","[u""This is the second film coming out in 2017 about a historical high-profile whistleblower case. Spielberg's The Post (2017) is based on Daniel Ellsberg and the release of the secret 'Pentagon Papers', while Landesman's Mark Felt: The Man Who Brought Down the White House (2017) is based on 'Mark Felt' and the Watergate scandal. Both films feature by coincidence Canadian actor Bruce Greenwood."", u""Was filmed after director Steven Spielberg's Ready Player One (2018) but is slated to release before."", u""This is Liz Hannah's first produced screenplay which was picked up as a spec script by producer Amy Pascal."", u'Meryl Streep and Tracy Letts previously collaborated together in the film August Osage County (2014) which was written by Tracy Letts.', u'This is the fifth feature film collaboration of actor Tom Hanks and director Steven Spielberg. The earlier films were [in chronological order]: Saving Private Ryan (1998), Catch Me If You Can (2002), The Terminal (2004), and Bridge of Spies (2015).', u'Bob Odenkirk and Jesse Plemons both previously starred in Breaking Bad (2008), while Carrie Coon and Michael Stuhlbarg previously starred in the third season of Fargo (2014), which also featured Odenkirk and Plemons in previous seasons.', u""This is the first major film collaboration of actress Meryl Streep and director Steven Spielberg. Streep's only other collaboration with Spielberg was on A.I. Artificial Intelligence (2001) when Streep did a voice over role in the film."", u""The original title for the screenplay was called The Post (2017) but was scrapped once the project was put into pre-production as it was renamed & retitled 'The Papers' but the project would again change it's title in the post-production stage back to its original title, The Post (2017)."", u'With this film, his fifth collaboration with Steven Spielberg, Tom Hanks broke his tie with Harrison Ford to be the actor that Spielberg has directed the most times. Ford has also been directed by Spielberg five times, but his scene in E.T. the Extra-Terrestrial (1982) was cut from the final film.', u'This is the first onscreen acting film collaboration and star teaming of actor Tom Hanks and actress Meryl Streep. The pair have both previously been credited for two pictures the two have both worked on but not in a top billing acting context. Streep did voice work for The Ant Bully (2006) and starred in Mamma Mia! (2008) which Hanks respectively was a producer and executive producer on.', u'David Cross and Bob Odenkirk have worked together on various projects before, most famously the sketch comedy series Mr Show with Bob and David (1995-1998).', u'This film features four actors who previously appeared in the FX anthology series Fargo (2014) Bob Odenkirk appeared in Season 1, Jesse Plemons appeared in Season 2, and Carrie Coon and Michael Stuhlbarg appear in Season 3.', u'This is the third film collaboration between actors Tom Hanks and Bradley Whitford. Their two prior films together were: Philadelphia (1993) & Saving Mr. Banks (2013)', u""The film is co-screenwriter Josh Singer's third film exploring the importance of journalism in uncovering political scandal following The Fifth Estate (2013) which surrounds Julian Assange's Wikileaks organization and Spotlight (2015) which follows the Boston Globe's investigation into Catholic child sex abuse allegations."", u'Sarah Paulson and Bruce Greenwood also starred in American Crime Story: The People vs. O.J.', u'The film was shot under the working title, ""Nor\'Easter.""']","[u'USA::22 December 2017 (limited)', u'Bulgaria::12 January 2018', u'Sweden::12 January 2018', u'USA::12 January 2018', u'UK::19 January 2018', u'Argentina::1 February 2018', u'Brazil::1 February 2018', u'Germany::22 February 2018']",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,6,2234048,producer,movie,Intelligent Life,1996.0,,"['Comedy', 'Sci-Fi']",106.0,0.0,119241.0,,"An employee at a department of the United Nation that monitors Outer Space inadvertently makes contact with a beautiful woman, who may be an alien.",,[u'us'],0.0,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]","[u'Ava DuVernay was hired to direct but dropped out due to scheduling conflicts.', u""Lupita Nyong'o was going to star when Ava DuVernay was still attached to direct. But when DuVernay dropped out, Nyong'o dropped out as well."", u'Was originally intended to be directed by Colin Trevorrow, but he was chosen for Star Wars: Episode IX (2019), and dropped out. He will remain onboard as writer and producer.']",[u'USA::2017'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,6951546,producer,tv series,Animaniacs,1996.0,,['Animation'],106.0,0.0,119241.0,[u'Color'],,[u'en'],[u'us'],0.0,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2918116,producer,movie,Gremlins 3,1996.0,,"['Comedy', 'Horror']",106.0,0.0,119241.0,[u'Color'],A sequel to  (1984) about cute little creatures that transform into uncontrollable monsters.,[u'en'],[u'us'],0.0,,,,,,[u'Curse Of The Mogwai'],[u'This movie was originally set to be a fresh reboot. Once Carl Ellsworth was added as a writer; it was decided that it would be made as a sequel to the original.'],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,2934286,producer,tv series,Halo,1996.0,,"['Action', 'Sci-Fi']",106.0,0.0,119241.0,[u'Color'],"Live-action TV series based on the video game, ""Halo"".",[u'en'],[u'us'],0.0,,,,,,"[u""It looks like we don't have any Taglines for this title yet.""]","[u""This series was first announced during the reveal of Microsoft's Xbox One console.""]",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
